ProteinGroupPairID,LinkIDs,PeptidePairIDs,PSMIDs,Protein1,Name1,Descriptions1,isDecoy1,Protein2,Name2,Description2,isDecoy2,Crosslinker,Score,isDecoy,isTT,isTD,isDD,count PSMs,count peptide pairs,count links,fdrGroup,fdr,ifdr,PEP,,top link fdr,top peptide fdr,top psm_fdr
708,383,270;259;231;257,Kojak_3599;Kojak_2478;Kojak_3684;Kojak_809;Kojak_2495;Kojak_486;Kojak_485;Kojak_3717;Kojak_2527,P0AG44,,,false,P0A7N4,,,false,,1334.646,false,true,false,false,9,4,1,Between,0,0,0,,0,0,0
49,86;502;760;563;541;140;152;201;600;168;341;486;714;620;797;665,909;364;431;3509;241;222;308;1288;777;1714;1002;1497;2486;571;577;337;377;1633,Kojak_1162;Kojak_2182;Kojak_3016;Kojak_3065;Kojak_4054;Kojak_4034;Kojak_3928;Kojak_3959;Kojak_3449;Kojak_3513;Kojak_3538;Kojak_3481;Kojak_1685;Kojak_2401;Kojak_3069;Kojak_3072;Kojak_3068;Kojak_3641;Kojak_3874;Kojak_1145;Kojak_2991;Kojak_1999;Kojak_3988;Kojak_2455;Kojak_4026;Kojak_2586;Kojak_2616;Kojak_1362;Kojak_1314;Kojak_397;Kojak_1652;Kojak_3348,P0AGE9,,,false,P0A836,,,false,,1210.638,false,true,false,false,32,18,16,Between,0,0,0,,0,0,0
141,199;294;806,743;2219;1318;279,Kojak_3710;Kojak_2812;Kojak_473;Kojak_3107;Kojak_1782;Kojak_2998,P0ADZ4,,,false,P0A6X7,,,false,,1197.765,false,true,false,false,6,4,3,Between,0,0,0,,0,0,0
233,796;306;470,1004;929;983;2354,Kojak_1023;Kojak_1088;Kojak_1949;Kojak_1996;Kojak_1946;Kojak_1992,P0A6X7,,,false,P62399,,,false,,1094.737,false,true,false,false,6,4,3,Between,0,0,0,,0,0,0
23,374;791;812;55,389;1834;411;603,Kojak_251;Kojak_263;Kojak_3378;Kojak_3343;Kojak_1069;Kojak_272,P0A8T7,,,false,P0A7Z4,,,false,,1068.243,false,true,false,false,6,4,4,Between,0,0,0,,0,0,0
714,16;6;18;28,17;156;1;4,Kojak_1537;Kojak_1597;Kojak_883;Kojak_957;Kojak_1458;Kojak_1185;Kojak_3967,P0AC33,,,false,P0AC33;P14407,;,;,false,,989.499,false,true,false,false,7,4,4,Self,0,0,0,,0,0,0
706,820,833,Kojak_1499;Kojak_668,P0A8F0,,,false,P0A853,,,false,,964.373,false,true,false,false,2,1,1,Between,0,0,0,,0,0,0
129,819;187,230;818,Kojak_10;Kojak_560;Kojak_1313;Kojak_846,P0A6Y8,,,false,P09372,,,false,,947.233,false,true,false,false,4,2,2,Between,0,0,0,,0,0,0
52,224;90;742;295;324;428;44;754,2172;1841;937;2977;1588;2073;3013;2103;375;422,Kojak_2733;Kojak_267;Kojak_280;Kojak_1956;Kojak_287;Kojak_1948;Kojak_1994;Kojak_1169;Kojak_2381;Kojak_3335;Kojak_635;Kojak_1189;Kojak_1657,P0A7K2,,,false,P0A7J3,,,false,,942.716,false,true,false,false,13,10,8,Between,0,0,0,,0,0,0
417,766;511,604;2018;2822,Kojak_695;Kojak_365;Kojak_3102;Kojak_2792,P02359,,,false,P68679,,,false,,941.778,false,true,false,false,4,3,2,Between,0,0,0,,0,0,0
5,817;34;131;105;692,837;313;1208;451;3862,Kojak_4015;Kojak_3975;Kojak_3092;Kojak_1124;Kojak_3876;Kojak_2646,P02359,,,false,P0A7S9,,,false,,929.752,false,true,false,false,6,5,5,Between,0,0,0,,0,0,0
173,241;488;591;496;818,1963;1125;2112;2016;3884,Kojak_1910;Kojak_2922;Kojak_1430;Kojak_1429;Kojak_934;Kojak_910;Kojak_2897,P0A705,,,false,P0A7V3,,,false,,928.101,false,true,false,false,7,5,5,Between,0,0,0,,0,0,0
