ProteinGroupID,ProteinGroup,Names,Descriptions,Sequence,Crosslinker,Score,isDecoy,isTT,isTD,isDD,PSM IDs,fdrGroup,fdr,ifdr,PEP,
223,P0A7B5,,,,,∞,false,true,false,false,Kojak_3130;Kojak_3917,Between only,0.032407407407407406,NaN,0.0,250.3
88,P0A9P0,,,,,∞,false,true,false,false,Kojak_3811;Kojak_3855;Kojak_4042;Kojak_4010;Kojak_3621;Kojak_2517;Kojak_3686;Kojak_3692;Kojak_3617;Kojak_3759;Kojak_3618;Kojak_3616;Kojak_2518;Kojak_3688;Kojak_3735;Kojak_3761;Kojak_3615;Kojak_3734;Kojak_3687;Kojak_2516;Kojak_2483;Kojak_3760;Kojak_2482;Kojak_3949;Kojak_3985;Kojak_3986;Kojak_3270;Kojak_3208;Kojak_3209;Kojak_3984;Kojak_3946;Kojak_3947;Kojak_3271;Kojak_3948;Kojak_3147;Kojak_2600;Kojak_2572;Kojak_667;Kojak_3808;Kojak_3030;Kojak_3807;Kojak_3849;Kojak_1014;Kojak_2073;Kojak_2072;Kojak_2687;Kojak_2671;Kojak_2580;Kojak_1849;Kojak_1847;Kojak_1848;Kojak_1869;Kojak_402;Kojak_3897;Kojak_3809;Kojak_2605;Kojak_3850;Kojak_2606;Kojak_3851;Kojak_2577;Kojak_2576;Kojak_2604;Kojak_3852;Kojak_3810;Kojak_438;Kojak_403;Kojak_2428;Kojak_1127;Kojak_3262;Kojak_3941;Kojak_3199;Kojak_3942;Kojak_3978;Kojak_3979;Kojak_3502;Kojak_3402;Kojak_2601;Kojak_2390;Kojak_2391;Kojak_1804;Kojak_1678;Kojak_2430;Kojak_1777;Kojak_2602;Kojak_2573;Kojak_2429;Kojak_1706;Kojak_1348;Kojak_1297;Kojak_1347;Kojak_1298;Kojak_2343;Kojak_2311;Kojak_2309;Kojak_2342;Kojak_2310;Kojak_3207,Between only,0.032407407407407406,NaN,0.0,595.8
162,ENTRAP_sp|Q8NDV2|GPR26_HUMAN,,,,,∞,false,true,false,false,Kojak_1190,Between only,0.032407407407407406,NaN,0.0,1.927
72,P0A7J7,,,,,∞,false,true,false,false,Kojak_2648;Kojak_258;Kojak_264;Kojak_3391;Kojak_2334;Kojak_2298;Kojak_1821;Kojak_2598;Kojak_2569;Kojak_3881;Kojak_2388;Kojak_2427;Kojak_2570;Kojak_1833;Kojak_2389;Kojak_2599;Kojak_1834;Kojak_1822;Kojak_3358;Kojak_3314;Kojak_3843;Kojak_3801;Kojak_2639;Kojak_1154;Kojak_3311;Kojak_3192;Kojak_3253;Kojak_4040;Kojak_4009;Kojak_3077;Kojak_3355,Between only,0.032407407407407406,NaN,0.0,624.7
65,P0A6Y1,,,,,∞,false,true,false,false,Kojak_2662;Kojak_275;Kojak_344;Kojak_723;Kojak_414;Kojak_784;Kojak_3090;Kojak_2234;Kojak_3093;Kojak_2235;Kojak_3091;Kojak_3143;Kojak_3089;Kojak_3094;Kojak_3896;Kojak_3145;Kojak_3494;Kojak_3390;Kojak_2775;Kojak_3655;Kojak_345;Kojak_407;Kojak_441;Kojak_276;Kojak_2746;Kojak_2794;Kojak_2793;Kojak_3131;Kojak_3079;Kojak_3132;Kojak_3885;Kojak_3918;Kojak_3078;Kojak_3884;Kojak_2643;Kojak_2582;Kojak_3895;Kojak_1827;Kojak_2581;Kojak_2610;Kojak_2642;Kojak_2644;Kojak_2271;Kojak_1645;Kojak_2192;Kojak_1250;Kojak_1208;Kojak_1953;Kojak_2191;Kojak_1951;Kojak_2147;Kojak_1997;Kojak_1952;Kojak_1998;Kojak_2236;Kojak_1222;Kojak_245;Kojak_3892;Kojak_1709;Kojak_1708;Kojak_1679;Kojak_1680;Kojak_3823;Kojak_3863;Kojak_268;Kojak_439;Kojak_341;Kojak_340;Kojak_404;Kojak_3591;Kojak_3397;Kojak_3661;Kojak_3498;Kojak_807;Kojak_1368;Kojak_2152;Kojak_3029;Kojak_2979;Kojak_2145;Kojak_2146;Kojak_2190;Kojak_1339;Kojak_1291;Kojak_818;Kojak_1290;Kojak_2189;Kojak_2144;Kojak_1711;Kojak_1682;Kojak_3406;Kojak_2828;Kojak_1959;Kojak_2005;Kojak_2006;Kojak_2994;Kojak_1958;Kojak_3137;Kojak_3085;Kojak_278;Kojak_2780;Kojak_1945;Kojak_2696;Kojak_2679;Kojak_1921;Kojak_2574;Kojak_2640;Kojak_3882;Kojak_3806;Kojak_3848;Kojak_3883;Kojak_3843;Kojak_3801;Kojak_3277;Kojak_3278;Kojak_1808;Kojak_3990;Kojak_2995;Kojak_2744;Kojak_2791;Kojak_2863;Kojak_4024;Kojak_1878;Kojak_3150;Kojak_2898;Kojak_4050;Kojak_2947;Kojak_3219;Kojak_3216;Kojak_3337;Kojak_3275;Kojak_3215;Kojak_3214;Kojak_1838;Kojak_1897;Kojak_2966;Kojak_3218;Kojak_3148;Kojak_1920;Kojak_1931;Kojak_3274;Kojak_3666;Kojak_2925;Kojak_3374;Kojak_3336;Kojak_3953;Kojak_3334;Kojak_3217;Kojak_1752;Kojak_2345;Kojak_2826;Kojak_3098;Kojak_1464;Kojak_3339;Kojak_3375;Kojak_3276,Between only,0.032407407407407406,NaN,0.0,510.5
93,P0AG44,,,,,∞,false,true,false,false,Kojak_922;Kojak_2520;Kojak_2832;Kojak_786;Kojak_2485;Kojak_1346;Kojak_471;Kojak_1295;Kojak_1296;Kojak_2038;Kojak_2080;Kojak_861;Kojak_1737;Kojak_470;Kojak_890;Kojak_3733;Kojak_446;Kojak_783;Kojak_412;Kojak_415;Kojak_789;Kojak_449;Kojak_2484;Kojak_1736;Kojak_830;Kojak_509;Kojak_1388;Kojak_862;Kojak_796;Kojak_790;Kojak_487;Kojak_1427;Kojak_2543;Kojak_791;Kojak_785;Kojak_2868;Kojak_3620;Kojak_2519;Kojak_829;Kojak_833;Kojak_447;Kojak_921;Kojak_413;Kojak_1345;Kojak_782;Kojak_945;Kojak_828;Kojak_445;Kojak_891;Kojak_2831;Kojak_3689;Kojak_2869;Kojak_498;Kojak_839;Kojak_2926;Kojak_946;Kojak_1764;Kojak_2079;Kojak_469;Kojak_2867;Kojak_3690;Kojak_3758;Kojak_411;Kojak_508;Kojak_834;Kojak_832;Kojak_2039;Kojak_3619;Kojak_485;Kojak_486;Kojak_3644;Kojak_3716;Kojak_2493;Kojak_2526;Kojak_3715;Kojak_3717;Kojak_2527;Kojak_777;Kojak_823;Kojak_778;Kojak_824;Kojak_3792;Kojak_2512;Kojak_3602;Kojak_3595;Kojak_3401;Kojak_3614;Kojak_3663;Kojak_2513;Kojak_3695;Kojak_1763;Kojak_3702;Kojak_3668;Kojak_3630;Kojak_3680;Kojak_3600;Kojak_3631;Kojak_3610;Kojak_3601;Kojak_3757;Kojak_3693;Kojak_3691;Kojak_3594;Kojak_3682;Kojak_2510;Kojak_3624;Kojak_3629;Kojak_3731;Kojak_3681;Kojak_3613;Kojak_2511;Kojak_3791;Kojak_2825;Kojak_2480;Kojak_3665;Kojak_1735;Kojak_3623;Kojak_3674;Kojak_2479;Kojak_3670;Kojak_2862;Kojak_3664;Kojak_3596;Kojak_3669;Kojak_3777;Kojak_3622;Kojak_3683;Kojak_3603;Kojak_3597;Kojak_3756;Kojak_3667;Kojak_3611;Kojak_3685;Kojak_3730;Kojak_3612;Kojak_3598;Kojak_3698;Kojak_3675;Kojak_3671;Kojak_3679;Kojak_3609;Kojak_2478;Kojak_3778;Kojak_3684;Kojak_3599;Kojak_3647;Kojak_2848;Kojak_808;Kojak_1371;Kojak_2057;Kojak_848;Kojak_1323;Kojak_2911;Kojak_1743;Kojak_849;Kojak_1411;Kojak_1768;Kojak_2547;Kojak_1448;Kojak_1373;Kojak_2110;Kojak_1374;Kojak_873;Kojak_3720;Kojak_1325;Kojak_3743;Kojak_2127;Kojak_2530;Kojak_1938;Kojak_2849;Kojak_2563;Kojak_2094;Kojak_1372;Kojak_904;Kojak_1744;Kojak_1412;Kojak_2093;Kojak_1324;Kojak_3648;Kojak_2496;Kojak_3721;Kojak_809;Kojak_2495,Between only,0.032407407407407406,NaN,0.0,839.9
90,P0ACD4,,,,,∞,false,true,false,false,Kojak_772;Kojak_725;Kojak_673;Kojak_729;Kojak_728;Kojak_440;Kojak_405;Kojak_677;Kojak_406;Kojak_422;Kojak_453,Between only,0.032407407407407406,NaN,0.0,921.5
73,P0A7J3,,,,,∞,false,true,false,false,Kojak_267;Kojak_280;Kojak_258;Kojak_264;Kojak_527;Kojak_353;Kojak_287;Kojak_2003;Kojak_1956;Kojak_1656;Kojak_1666;Kojak_1657;Kojak_1172;Kojak_1667;Kojak_1189;Kojak_1948;Kojak_1947;Kojak_1994;Kojak_616;Kojak_635;Kojak_1169;Kojak_1993;Kojak_2782;Kojak_2733;Kojak_3335;Kojak_2381,Between only,0.032407407407407406,NaN,0.0,865.9
46,P0AGB3,,,,,∞,false,true,false,false,Kojak_163;Kojak_152,Between only,0.032407407407407406,NaN,0.0,1.864
105,P0ADP7,,,,,∞,false,true,false,false,Kojak_2260;Kojak_968;Kojak_526;Kojak_1024,Between only,0.032407407407407406,NaN,0.0,44.84
