protein_pair	probability	status
sp|P07118|SYV_ECOLI-sp|P07118|SYV_ECOLI	1.00	target_target
sp|P0A6Y1|IHFB_ECOLI-sp|P0A7J7|RL11_ECOLI	1.00	target_target
sp|P0ACF4|DBHB_ECOLI-sp|P68679|RS21_ECOLI	1.00	target_target
sp|P0A6Z1|HSCA_ECOLI-sp|P0ACD4|ISCU_ECOLI	1.00	target_target
sp|P0A6X7|IHFA_ECOLI-sp|P62399|RL5_ECOLI	1.00	target_target
sp|P0A7S3|RS12_ECOLI-sp|P0ADZ4|RS15_ECOLI	1.00	target_target
sp|P0A7L0|RL1_ECOLI-sp|P0ACF0|DBHA_ECOLI	1.00	target_target
sp|P0A7J7|RL11_ECOLI-sp|P77718|THII_ECOLI	1.00	target_target
sp|P0A853|TNAA_ECOLI-sp|P0A8F0|UPP_ECOLI	1.00	target_target
sp|P0A6X7|IHFA_ECOLI-sp|P0A7V3|RS3_ECOLI	1.00	target_target
sp|P0A8T7|RPOC_ECOLI-sp|P0ACF0|DBHA_ECOLI	1.00	target_target
sp|P0A7N9|RL33_ECOLI-sp|P0ACF4|DBHB_ECOLI	1.00	target_target
sp|P0ABF1|PCNB_ECOLI-sp|P60422|RL2_ECOLI	1.00	target_target
sp|P0A7S3|RS12_ECOLI-sp|P0ACJ0|LRP_ECOLI	1.00	target_target
sp|P0A705|IF2_ECOLI-sp|P0ACF0|DBHA_ECOLI	1.00	target_target
sp|P0A8T7|RPOC_ECOLI-sp|P0ACF4|DBHB_ECOLI	1.00	target_target
sp|P02358|RS6_ECOLI-sp|P0ACF0|DBHA_ECOLI	1.00	target_target
sp|P21156|CYSD_ECOLI-sp|P23845|CYSN_ECOLI	1.00	target_target
sp|P0A7Z4|RPOA_ECOLI-sp|P0A8V2|RPOB_ECOLI	1.00	target_target
sp|P0A7Z4|RPOA_ECOLI-sp|P24255|RP54_ECOLI	1.00	target_target
sp|P0A7K6|RL19_ECOLI-sp|P0ACF4|DBHB_ECOLI	1.00	target_target
sp|P0A7T3|RS16_ECOLI-sp|P0ACF4|DBHB_ECOLI	1.00	target_target
sp|P02359|RS7_ECOLI-sp|P0A7T7|RS18_ECOLI	1.00	target_target
sp|P0A705|IF2_ECOLI-sp|P0ACF4|DBHB_ECOLI	1.00	target_target
sp|P0A7X3|RS9_ECOLI-sp|P0AG67|RS1_ECOLI	1.00	target_target
sp|P0AA10|RL13_ECOLI-sp|P0ACF4|DBHB_ECOLI	1.00	target_target
sp|P0A7V3|RS3_ECOLI-sp|P0A8V2|RPOB_ECOLI	1.00	target_target
sp|P0A707|IF3_ECOLI-sp|P0A7L0|RL1_ECOLI	1.00	target_target
sp|P0A7S3|RS12_ECOLI-sp|P45577|PROQ_ECOLI	1.00	target_target
sp|P0A7L0|RL1_ECOLI-sp|P0A7N9|RL33_ECOLI	1.00	target_target
sp|P0ADQ7|YGAM_ECOLI-sp|P64581|YQJD_ECOLI	1.00	target_target
sp|P0A6X7|IHFA_ECOLI-sp|P0AG59|RS14_ECOLI	1.00	target_target
sp|P02359|RS7_ECOLI-sp|P76053|SMRA_ECOLI	1.00	target_target
sp|P0ACF4|DBHB_ECOLI-sp|P0AG63|RS17_ECOLI	1.00	target_target
sp|P0AG30|RHO_ECOLI-sp|P60422|RL2_ECOLI	1.00	target_target
sp|P17846|CYSI_ECOLI-sp|P38038|CYSJ_ECOLI	1.00	target_target
sp|P02358|RS6_ECOLI-sp|P0ACF4|DBHB_ECOLI	1.00	target_target
sp|P0C0V0|DEGP_ECOLI-sp|P39099|DEGQ_ECOLI	1.00	target_target
sp|P0ACF4|DBHB_ECOLI-sp|P68191|SRA_ECOLI	1.00	target_target
sp|P0ACF0|DBHA_ECOLI-sp|P0ACF4|DBHB_ECOLI	1.00	target_target
sp|P0A7Z4|RPOA_ECOLI-sp|P0AFF6|NUSA_ECOLI	1.00	target_target
rev_sp|P57721|PCBP3_HUMAN-sp|P0A8V2|RPOB_ECOLI	1.00	target_decoy
sp|P0A8T7|RPOC_ECOLI-sp|P0AFF6|NUSA_ECOLI	1.00	target_target
sp|P0A6Y1|IHFB_ECOLI-sp|P0A7U3|RS19_ECOLI	1.00	target_target
sp|P0A6Y1|IHFB_ECOLI-sp|P60422|RL2_ECOLI	1.00	target_target
sp|P06959|ODP2_ECOLI-sp|P0A9P0|DLDH_ECOLI	1.00	target_target
sp|P0A8T7|RPOC_ECOLI-sp|P0AFG0|NUSG_ECOLI	1.00	target_target
sp|P0A8F0|UPP_ECOLI-sp|P0ACF8|HNS_ECOLI	1.00	target_target
sp|P0ACF4|DBHB_ECOLI-sp|P62399|RL5_ECOLI	1.00	target_target
sp|P02358|RS6_ECOLI-sp|P0AG67|RS1_ECOLI	1.00	target_target
sp|P0A6X7|IHFA_ECOLI-sp|P0ACF0|DBHA_ECOLI	1.00	target_target
sp|P0A7R1|RL9_ECOLI-sp|P0AG30|RHO_ECOLI	1.00	target_target
sp|P0ADG7|IMDH_ECOLI-sp|P60560|GUAC_ECOLI	1.00	target_target
sp|P07014|SDHB_ECOLI-sp|P0AC41|SDHA_ECOLI	1.00	target_target
sp|P0ACF4|DBHB_ECOLI-sp|P0AG59|RS14_ECOLI	1.00	target_target
sp|P0A6Y8|DNAK_ECOLI-sp|P69908|DCEA_ECOLI	1.00	target_target
sp|P0A7V8|RS4_ECOLI-sp|P0A7W1|RS5_ECOLI	1.00	target_target
sp|P0A6X7|IHFA_ECOLI-sp|P0AG63|RS17_ECOLI	1.00	target_target
sp|P06959|ODP2_ECOLI-sp|P0AFG8|ODP1_ECOLI	1.00	target_target
sp|P0ACF0|DBHA_ECOLI-sp|P68679|RS21_ECOLI	1.00	target_target
sp|P29217|YCEH_ECOLI-sp|P29217|YCEH_ECOLI	1.00	target_target
sp|P0AEU7|SKP_ECOLI-sp|P60422|RL2_ECOLI	1.00	target_target
sp|P0A7L0|RL1_ECOLI-sp|P0A7S3|RS12_ECOLI	1.00	target_target
sp|P0ACF0|DBHA_ECOLI-sp|P45577|PROQ_ECOLI	1.00	target_target
sp|P0A6X7|IHFA_ECOLI-sp|P0A8T7|RPOC_ECOLI	1.00	target_target
sp|P02359|RS7_ECOLI-sp|P0A7V0|RS2_ECOLI	1.00	target_target
sp|P0A910|OMPA_ECOLI-sp|P69776|LPP_ECOLI	1.00	target_target
sp|P0A705|IF2_ECOLI-sp|P0AG59|RS14_ECOLI	1.00	target_target
sp|P45577|PROQ_ECOLI-sp|P68679|RS21_ECOLI	1.00	target_target
sp|P0A7V8|RS4_ECOLI-sp|P0ACF4|DBHB_ECOLI	1.00	target_target
sp|P0A6X7|IHFA_ECOLI-sp|P0A7U3|RS19_ECOLI	1.00	target_target
sp|P0A6Y8|DNAK_ECOLI-sp|P69910|DCEB_ECOLI,sp|P69908|DCEA_ECOLI	1.00	target_target
sp|P02358|RS6_ECOLI-sp|P0A7S3|RS12_ECOLI	1.00	target_target
sp|P0A7Z4|RPOA_ECOLI-sp|P0ACF4|DBHB_ECOLI	1.00	target_target
sp|P0A7T3|RS16_ECOLI-sp|P0ACF0|DBHA_ECOLI	1.00	target_target
sp|P0ACF4|DBHB_ECOLI-sp|P45577|PROQ_ECOLI	1.00	target_target
sp|P0A7K2|RL7_ECOLI-sp|P0A7R1|RL9_ECOLI	1.00	target_target
