ProteinGroupPairID,LinkIDs,PeptidePairIDs,PSMIDs,Protein1,Name1,Descriptions1,isDecoy1,Protein2,Name2,Description2,isDecoy2,Crosslinker,Score,isDecoy,isTT,isTD,isDD,count PSMs,count peptide pairs,count links,fdrGroup,fdr,ifdr,PEP,,top link fdr,top peptide fdr,top psm_fdr
38,42;146;179;289;163;329;157;116;225;258,67;224;275;440;114;61;236;188;344;391,OpenPepXL_363;OpenPepXL_298;OpenPepXL_119;OpenPepXL_216;OpenPepXL_391;OpenPepXL_283;OpenPepXL_357;OpenPepXL_362;OpenPepXL_247;OpenPepXL_257;OpenPepXL_157,P0A8V2,,,false,P0A8T7,,,false,,2.615,false,true,false,false,11,10,10,Between,0,0,0.021,,0,0,0.073
296,43;269;122,125;69;94;195;234;197,OpenPepXL_302;OpenPepXL_301;OpenPepXL_388;OpenPepXL_365;OpenPepXL_337;OpenPepXL_38,P0A836,,,false,P0AGE9,,,false,,1.934,false,true,false,false,6,6,3,Between,0,0.008,0.021,,0,0.075,0.073
122,277;322;323;135,257;13;40;71,OpenPepXL_452;OpenPepXL_240;OpenPepXL_221;OpenPepXL_236;OpenPepXL_237;OpenPepXL_314,P0A6Y1,,,false,P0A6X7,,,false,,1.906,false,true,false,false,6,4,4,Between,0,0.008,0.021,,0,0,0.073
44,60;136;320;303;50,91;214;79;299;81,OpenPepXL_393;OpenPepXL_124;OpenPepXL_134;OpenPepXL_133;OpenPepXL_250;OpenPepXL_131,P0AG55,,,false,P0A7K2,,,false,,1.9,false,true,false,false,6,5,5,Between,0,0.009,0.021,,0,0,0.073
66,207;74,307;313;113,OpenPepXL_279;OpenPepXL_284;OpenPepXL_190;OpenPepXL_381,P0A786,,,false,P0A7F3,,,false,,1.621,false,true,false,false,4,3,2,Between,0,0.012,0.023,,0,0,0.073
180,196;194,151;296;293,OpenPepXL_310;OpenPepXL_6;OpenPepXL_213;OpenPepXL_461,P0A7V8,,,false,Q9NYP7,,,false,,1.579,false,true,false,false,4,3,2,Between,0,0.012,0.023,,0,0,0.073
298,321;328,48;14,OpenPepXL_243;OpenPepXL_379;OpenPepXL_233;OpenPepXL_345,P0A7R1,,,false,P0A7M2,,,false,,1.538,false,true,false,false,4,2,2,Between,0,0.013,0.024,,0,0,0.073
246,292;314;263,447;451;152,OpenPepXL_71;OpenPepXL_73;OpenPepXL_214,P0A7R1,,,false,P60422,,,false,,1.454,false,true,false,false,3,3,3,Between,0,0.014,0.024,,0,0,0
286,312;221,464;380;128,OpenPepXL_95;OpenPepXL_275;OpenPepXL_168,P0A7T7,,,false,P02358,,,false,,1.443,false,true,false,false,3,3,2,Between,0,0.014,0.024,,0,0.04,0.073
114,126;302;301,203;466;465,OpenPepXL_333;OpenPepXL_227;OpenPepXL_166,P0A7N4,,,false,P0AG44,,,false,,1.43,false,true,false,false,3,3,3,Between,0,0.014,0.024,,0.067,0.075,0.073
102,124;112,364;200;182,OpenPepXL_259;OpenPepXL_45;OpenPepXL_24,P0A7N4,,,false,P61175,,,false,,1.398,false,true,false,false,3,3,2,Between,0,0.014,0.026,,0,0.04,0.073
72,127;81,442;204;127,OpenPepXL_223;OpenPepXL_260;OpenPepXL_408,P0ACF0,,,false,P60422,,,false,,1.387,false,true,false,false,3,3,2,Between,0,0.015,0.026,,0,0.075,0.073
318,28,76;410;45,OpenPepXL_294;OpenPepXL_401;OpenPepXL_430,P0AG67,,,false,P0A7V0,,,false,,1.381,false,true,false,false,3,3,1,Between,0,0.015,0.026,,0,0.075,0.073
316,20,340;31,OpenPepXL_59;OpenPepXL_60;OpenPepXL_55,P68066,,,false,P09373,,,false,,1.361,false,true,false,false,3,2,1,Between,0,0.015,0.027,,0,0,0.073
62,103;70;270,169;105;267,OpenPepXL_121;OpenPepXL_143;OpenPepXL_331,P0A7K2,,,false,P0A7J3,,,false,,1.357,false,true,false,false,3,3,3,Between,0,0.015,0.027,,0.097,0.092,0.073
226,325;243,110;317,OpenPepXL_382;OpenPepXL_380;OpenPepXL_25,P0A9G6,,,false,P0A853,,,false,,1.356,false,true,false,false,3,2,2,Between,0,0.015,0.027,,0,0,0.073
88,330;98,163;159,OpenPepXL_253;OpenPepXL_139;OpenPepXL_248,P0A7Z4,,,false,Q46819,,,false,,1.347,false,true,false,false,3,2,2,Between,0,0.015,0.029,,0,0,0.073
152,165;326,252;117,OpenPepXL_324;OpenPepXL_146;OpenPepXL_145,P64581,,,false,P0AEH5,,,false,,1.344,false,true,false,false,3,2,2,Between,0,0.015,0.029,,0,0,0.073
101,111;21,181;405;32,OpenPepXL_396;OpenPepXL_341;OpenPepXL_50,P0A7R9,,,false,P0AG67,,,false,,1.339,false,true,false,false,3,3,2,Between,0,0.015,0.029,,0,0.092,0.073
47,71;53;183,106;84;280,OpenPepXL_320;OpenPepXL_300;OpenPepXL_340,P0AG67,,,false,P02359,,,false,,1.328,false,true,false,false,3,3,3,Between,0,0.015,0.029,,0.097,0.092,0.073
42,47;101;89,77;155;142,OpenPepXL_126;OpenPepXL_123;OpenPepXL_22,P0AFG6,,,false,P0AFG3,,,false,,1.321,false,true,false,false,3,3,3,Between,0,0.015,0.031,,0.097,0.092,0.073
41,46;152;54,75;230;85,OpenPepXL_89;OpenPepXL_21;OpenPepXL_196,P0A707,,,false,P0A7S9,,,false,,1.317,false,true,false,false,3,3,3,Between,0,0.015,0.031,,0.097,0.092,0.073
248,286;265,357;400,OpenPepXL_439;OpenPepXL_154,P0A7Z4,,,false,P0A8V2,,,false,,1.163,false,true,false,false,2,2,2,Between,0,0.017,0.038,,0.075,0.083,0.073
196,278;212,341;322,OpenPepXL_149;OpenPepXL_384,P63284,,,false,P0A853,,,false,,1.148,false,true,false,false,2,2,2,Between,0,0.017,0.038,,0.085,0.092,0.073
311,332,319,OpenPepXL_290;OpenPepXL_289,P02358,,,false,P0AG67,,,false,,1.145,false,true,false,false,2,1,1,Between,0,0.018,0.038,,0,0,0.073
115,128;274,205;414,OpenPepXL_339;OpenPepXL_144,P0AFG6,,,false,P0A9P0,,,false,,1.132,false,true,false,false,2,2,2,Between,0,0.018,0.038,,0.097,0.092,0.073
74,83;290,130;445,OpenPepXL_353;OpenPepXL_93,P0ACF4,,,false,P0A7U3,,,false,,1.129,false,true,false,false,2,2,2,Between,0,0.018,0.04,,0.075,0.083,0.073
310,49,462;80,OpenPepXL_186;OpenPepXL_128,P0ACF4,,,false,P0ACF0,,,false,,1.129,false,true,false,false,2,2,1,Between,0,0.018,0.04,,0,0.075,0.073
138,151;244,229;369,OpenPepXL_203;OpenPepXL_125,P0A705,,,false,P0A7S3,,,false,,1.127,false,true,false,false,2,2,2,Between,0,0.018,0.04,,0.097,0.092,0.073
174,188;189,285;287,OpenPepXL_43;OpenPepXL_42,P0A705,,,false,P0A7R5,,,false,,1.122,false,true,false,false,2,2,2,Between,0,0.018,0.04,,0.097,0.092,0.073
130,143;203,221;308,OpenPepXL_426;OpenPepXL_383,Q7L266,,,false,P0A853,,,false,,1.118,false,true,false,false,2,2,2,Between,0,0.018,0.04,,0.097,0.092,0.073
73,82;202,129;306,OpenPepXL_210;OpenPepXL_262,P0A7W7,,,false,P0A7V0,,,false,,1.105,false,true,false,false,2,2,2,Between,0,0.018,0.043,,0.097,0.092,0.073
43,48;252,72;375,OpenPepXL_178;OpenPepXL_170,P0A7Z4,,,false,P0AFF6,,,false,,1.104,false,true,false,false,2,2,2,Between,0,0.018,0.043,,0.097,0.092,0.073
34,38;240,62;362,OpenPepXL_420;OpenPepXL_448,P0A7V8,,,false,Q01449,,,false,,1.096,false,true,false,false,2,2,2,Between,0,0.018,0.045,,0.097,0.092,0.073
304,327,47,OpenPepXL_303;OpenPepXL_48,P0A707,,,false,P0A7U3,,,false,,1.09,false,true,false,false,2,1,1,Between,0,0.018,0.053,,0,0,0.073
301,324,36,OpenPepXL_415;OpenPepXL_414,P0A6Y1,,,false,P0A7S3,,,false,,1.083,false,true,false,false,2,1,1,Between,0,0.018,0.118,,0,0,0.073
45,104;51,171;82,OpenPepXL_212;OpenPepXL_51,P0A705,,,false,P0A7U3,,,false,,1.077,false,true,false,false,2,2,2,Between,0,0.018,0.118,,0.097,0.092,0.073
295,58,98;89,OpenPepXL_352;OpenPepXL_193,P0A7S9,,,false,P0A7U3,,,false,,1.065,false,true,false,false,2,2,1,Between,0,0.018,0.188,,0,0.092,0.073
17,18;130,26;207,OpenPepXL_372;OpenPepXL_109,P21179,,,false,P24181;Q8IWT0,;,;,false,,1.051,false,true,false,false,2,2,2,Between,0,0.019,0.188,,0.097,0.092,0.073
294,319,42,OpenPepXL_410;OpenPepXL_409,P0A6Y1,,,false,P0A7L8,,,false,,1.042,false,true,false,false,2,1,1,Between,0,0.019,0.188,,0,0,0.073
18,57;19,88;30,OpenPepXL_68;OpenPepXL_177,P0A705,,,false,P0A7V3,,,false,,1.04,false,true,false,false,2,2,2,Between,0,0.019,0.188,,0.097,0.092,0.073
293,318,29,OpenPepXL_306;OpenPepXL_53,P0AFF6,,,false,P0A8T7,,,false,,1.036,false,true,false,false,2,1,1,Between,0,0.019,0.188,,0,0,0.073
292,14,116;11,OpenPepXL_238;OpenPepXL_371,P0A6F9,,,false,Q9BZW5,,,false,,1.019,false,true,false,false,2,2,1,Between,0,0.019,0.188,,0,0.092,0.073
291,317,27,OpenPepXL_174;OpenPepXL_173,P0AFA7,,,false,P0A853,,,false,,1.019,false,true,false,false,2,1,1,Between,0,0.019,0.188,,0,0,0.073
290,316,15,OpenPepXL_481;OpenPepXL_87,P11349,,,false,P07813,,,false,,0.903,false,true,false,false,2,1,1,Between,0,0.02,0.267,,0,0,0.073
289,315,474,OpenPepXL_241,P0ACF4,,,false,P0A7V3,,,false,,0.898,false,true,false,false,1,1,1,Between,0,0.02,0.267,,0,0,0
287,313,409,OpenPepXL_29,decoy:sp|P61714|RISB_ECOLI,decoy:,decoy:,true,P00961,,,false,,0.865,true,false,true,false,1,1,1,Between,0.021,0.042,0.357,,0.029,0.04,0.073
285,310,477,OpenPepXL_11,P0A8T7,,,false,P0A800,,,false,,0.862,false,true,false,false,1,1,1,Between,0.021,0.032,0.357,,0.029,0.04,0.073
284,309,476,OpenPepXL_72,P0A7V3,,,false,P0A7V0,,,false,,0.859,false,true,false,false,1,1,1,Between,0.021,0.04,0.357,,0.029,0.04,0.073
283,308,392,OpenPepXL_84,P23538,,,false,decoy:sp|A6NF83|NUPR2_HUMAN,decoy:,decoy:,true,,0.859,true,false,true,false,1,1,1,Between,0.042,0.045,0.357,,0.057,0.075,0.073
282,307,473,OpenPepXL_318,P0A6Z1,,,false,decoy:sp|Q6DD88|ATLA3_HUMAN,decoy:,decoy:,true,,0.856,true,false,true,false,1,1,1,Between,0.056,0.044,0.312,,0.067,0.075,0.073
281,305,388,OpenPepXL_103,P0AES4,,,false,P0AES6,,,false,,0.855,false,true,false,false,1,1,1,Between,0.056,0.056,0.353,,0.067,0.075,0.073
280,304,470,OpenPepXL_255,P0A7R9,,,false,P02359,,,false,,0.853,false,true,false,false,1,1,1,Between,0.056,0.057,0.389,,0.067,0.075,0.073
276,299,461,OpenPepXL_1,Q8TEA8,,,false,P00961,,,false,,0.842,false,true,false,false,1,1,1,Between,0.056,0.062,0.438,,0.067,0.075,0.073
275,297,418,OpenPepXL_160,P00961,,,false,Q9HCJ2,,,false,,0.837,false,true,false,false,1,1,1,Between,0.056,0.064,0.386,,0.067,0.075,0.073
274,296,453,OpenPepXL_225,P0A800,,,false,P0A7Z4,,,false,,0.837,false,true,false,false,1,1,1,Between,0.056,0.064,0.386,,0.067,0.075,0.073
273,295,455,OpenPepXL_96,P0AFD6,,,false,P0A853,,,false,,0.836,false,true,false,false,1,1,1,Between,0.056,0.065,0.383,,0.067,0.075,0.073
271,291,446,OpenPepXL_80,decoy:sp|O15389|SIGL5_HUMAN,decoy:,decoy:,true,P0A853,,,false,,0.83,true,false,true,false,1,1,1,Between,0.068,0.075,0.306,,0.075,0.083,0.073
268,288,439,OpenPepXL_12,P0A6P1,,,false,P0A8V2,,,false,,0.828,false,true,false,false,1,1,1,Between,0.068,0.071,0.292,,0.075,0.083,0.073
267,287,438,OpenPepXL_83,P75792,,,false,P0A836,,,false,,0.827,false,true,false,false,1,1,1,Between,0.068,0.073,0.303,,0.075,0.083,0.073
265,285,239,OpenPepXL_402,P0AB14,,,false,P0A853,,,false,,0.825,false,true,false,false,1,1,1,Between,0.068,0.078,0.284,,0.075,0.083,0.073
264,284,433,OpenPepXL_17,Q00888,,,false,P0A853,,,false,,0.825,false,true,false,false,1,1,1,Between,0.068,0.078,0.284,,0.075,0.083,0.073
263,283,271,OpenPepXL_114,P0ACF0,,,false,P0A7U3,,,false,,0.824,false,true,false,false,1,1,1,Between,0.068,0.079,0.284,,0.075,0.083,0.073
262,282,429,OpenPepXL_69,decoy:sp|P09546|PUTA_ECOLI,decoy:,decoy:,true,P0C0V0,,,false,,0.824,true,false,true,false,1,1,1,Between,0.079,0.086,0.284,,0.085,0.092,0.073
261,281,428,OpenPepXL_404,P0CG19,,,false,P0A853,,,false,,0.824,false,true,false,false,1,1,1,Between,0.079,0.081,0.293,,0.085,0.092,0.073
260,280,427,OpenPepXL_16,P45472,,,false,P00961,,,false,,0.824,false,true,false,false,1,1,1,Between,0.079,0.082,0.307,,0.085,0.092,0.073
