ProteinGroupID,ProteinGroup,Names,Descriptions,Sequence,Crosslinker,Score,isDecoy,isTT,isTD,isDD,PSM IDs,fdrGroup,fdr,ifdr,PEP,
108,P0AFD6,,,,,∞,false,true,false,false,OpenPepXL_96,Between only,0.17037037037037037,NaN,0.0,0.835924161282881
43,decoy:sp|P63313|TYB10_HUMAN,decoy:,decoy:,,,∞,true,false,true,false,OpenPepXL_28,Between only,0.17037037037037037,NaN,0.0,0.808857316703371
60,P0A9P0,,,,,∞,false,true,false,false,OpenPepXL_64;OpenPepXL_321;OpenPepXL_76;OpenPepXL_46;OpenPepXL_319;OpenPepXL_322;OpenPepXL_77;OpenPepXL_339;OpenPepXL_144;OpenPepXL_288,Between only,0.16728624535315986,NaN,0.0,0.820462723098765
255,P0A9M8,,,,,∞,false,true,false,false,OpenPepXL_313,Between only,0.16728624535315986,NaN,0.0,0.755375146591852
48,P0A7J7,,,,,∞,false,true,false,false,OpenPepXL_32;OpenPepXL_90;OpenPepXL_179;OpenPepXL_61;OpenPepXL_122;OpenPepXL_74;OpenPepXL_138,Between only,0.16728624535315986,NaN,0.0,0.802527248932254
45,P0A6Y1,,,,,∞,false,true,false,false,OpenPepXL_269;OpenPepXL_452;OpenPepXL_266;OpenPepXL_398;OpenPepXL_410;OpenPepXL_409;OpenPepXL_413;OpenPepXL_197;OpenPepXL_414;OpenPepXL_415;OpenPepXL_236;OpenPepXL_237;OpenPepXL_482;OpenPepXL_30;OpenPepXL_239;OpenPepXL_221;OpenPepXL_240;OpenPepXL_304;OpenPepXL_314;OpenPepXL_228,Between only,0.16728624535315986,NaN,0.0,0.82324262783011
319,decoy:sp|P0A8F8|UVRB_ECOLI,decoy:,decoy:,,,∞,true,false,true,false,OpenPepXL_472,Between only,0.16728624535315986,NaN,0.0,0.563905605642764
169,P0AG44,,,,,∞,false,true,false,false,OpenPepXL_166;OpenPepXL_227;OpenPepXL_333,Between only,0.1660377358490566,NaN,0.0,0.848573393882031
252,P0ACD4,,,,,∞,false,true,false,false,OpenPepXL_307,Between only,0.1660377358490566,NaN,0.0,0.758082938520098
280,P0AER0,,,,,∞,false,true,false,false,OpenPepXL_377,Between only,0.1660377358490566,NaN,0.0,0.754118088786299
