ProteinGroupPairID,LinkIDs,PeptidePairIDs,PSMIDs,Protein1,Name1,Descriptions1,isDecoy1,Protein2,Name2,Description2,isDecoy2,Crosslinker,Score,isDecoy,isTT,isTD,isDD,count PSMs,count peptide pairs,count links,fdrGroup,fdr,ifdr,PEP,,top link fdr,top peptide fdr,top psm_fdr
131,424;895;964;820;1668;1296;1484;855;1110;267;400;1442;1589;1660;1378;1597;1701;1038;1429;1643;950;1555;1551;1662;1423;1330;1657;1496;110;1430;1508;220;1166;1197,1194;2350;1510;1067;1963;3588;676;831;2704;667;1138;2849;2029;3650;3806;784;1867;1314;2777;4016;3385;2527;2232;2438;1232;3995;3705;1789;959;1865;613;3786;1351;806;1916;2248,pLink2_597;pLink2_2008;pLink2_2269;pLink2_1775;pLink2_3679;pLink2_3996;pLink2_3467;pLink2_89;pLink2_3648;pLink2_1883;pLink2_2777;pLink2_261;pLink2_533;pLink2_3989;pLink2_2274;pLink2_4061;pLink2_3849;pLink2_3532;pLink2_3751;pLink2_2950;pLink2_2496;pLink2_2331;pLink2_3554;pLink2_3594;pLink2_3696;pLink2_1597;pLink2_2524;pLink2_2523;pLink2_3926;pLink2_3960;pLink2_3232;pLink2_2216;pLink2_1863;pLink2_3150;pLink2_2120;pLink2_2109;pLink2_3593;pLink2_3772;pLink2_3905;pLink2_3591;pLink2_3723;pLink2_3480;pLink2_344;pLink2_3762;pLink2_2385;pLink2_1531;pLink2_29;pLink2_3928;pLink2_1864;pLink2_1082;pLink2_195;pLink2_3019;pLink2_3106,P0A8T7,,,false,P0A8V2,,,false,,6.782,false,true,false,false,53,36,34,Between,0,0,0.002,,0,0,0
166,1320;339;863;679;778;255;1327;1493;911;1629;635;1034;766;1632;1640;1401;751;828;792;986;1654;1599;862;898;1066;1614;1179;1569;1184;419,3673;1025;2265;634;2046;862;3694;758;2411;1799;1701;2769;2016;3151;3354;2377;1596;1192;2084;2148;1384;2191;2263;2170;2870;1748;3213;1943;3223;1175,pLink2_3556;pLink2_413;pLink2_1903;pLink2_1344;pLink2_1632;pLink2_242;pLink2_3578;pLink2_575;pLink2_1829;pLink2_2078;pLink2_3447;pLink2_3030;pLink2_1222;pLink2_2515;pLink2_1598;pLink2_3067;pLink2_3781;pLink2_3198;pLink2_3922;pLink2_3810;pLink2_1550;pLink2_1799;pLink2_1676;pLink2_2328;pLink2_3745;pLink2_3426;pLink2_2748;pLink2_2674;pLink2_1900;pLink2_2021;pLink2_2625;pLink2_3210;pLink2_2818;pLink2_3042;pLink2_3563;pLink2_2004;pLink2_3055;pLink2_574,P0A9P0,,,false,P0AFG6,,,false,,5.736,false,true,false,false,38,30,30,Between,0,0,0.002,,0,0,0
317,407;774;1474;978;1357;1488;996;1596;481;1090;1533;1447;890;1584;622;764;947;1319;301,1149;2040;2537;1154;1027;2924;745;944;1406;1011;2939;1434;2373;2042;1622;1665;1148;2520;3672;2549;912,pLink2_545;pLink2_1626;pLink2_3976;pLink2_4056;pLink2_550;pLink2_1152;pLink2_2313;pLink2_3668;pLink2_148;pLink2_4009;pLink2_2360;pLink2_2429;pLink2_3340;pLink2_748;pLink2_2707;pLink2_1377;pLink2_3370;pLink2_4005;pLink2_1993;pLink2_2198;pLink2_4060;pLink2_1179;pLink2_1586;pLink2_2209;pLink2_3555;pLink2_2860;pLink2_334,P0A7V3,,,false,P0A705,,,false,,4.691,false,true,false,false,27,21,19,Between,0,0.001,0.002,,0,0,0
262,440;352;1482;504;1026;1634;749;1613;1478;1586;1267;808;1585;1295;1623;1620,1235;1045;677;1365;1688;3016;706;2506;695;2706;2106;2117;723;3586;1001;717,pLink2_643;pLink2_434;pLink2_1132;pLink2_1095;pLink2_802;pLink2_2469;pLink2_3118;pLink2_3741;pLink2_1536;pLink2_2770;pLink2_4004;pLink2_109;pLink2_2262;pLink2_2558;pLink2_2436;pLink2_3356;pLink2_1715;pLink2_2202;pLink2_3707;pLink2_3465;pLink2_3567;pLink2_2902;pLink2_3115;pLink2_2910,P0A6X7,,,false,P0A6Y1,,,false,,4.482,false,true,false,false,24,16,16,Between,0,0.001,0.002,,0,0,0
275,1696;763;410;755;365;1563;539;1612;1379;1004;768;1426;1344;1373;1153;1515;958,1858;815;731;1676;778;2558;1347;829;3850;2055;2019;4004;2161;1860;3155;1466;1960,pLink2_1410;pLink2_2831;pLink2_2813;pLink2_1585;pLink2_557;pLink2_1555;pLink2_465;pLink2_2255;pLink2_2305;pLink2_918;pLink2_2802;pLink2_3136;pLink2_3752;pLink2_2376;pLink2_1601;pLink2_3914;pLink2_3625;pLink2_3733;pLink2_2972;pLink2_929;pLink2_3138;pLink2_2254,P0A7K2,,,false,P0A7J3,,,false,,4.317,false,true,false,false,22,17,17,Between,0,0.001,0.002,,0,0,0
399,1633;951;1604;489;1679;922;1100;563;1653;1689;959;1068;856;1636,2310;1795;1494;1329;2869;1523;2928;933;707;2332;2075;2873;1535;3293,pLink2_3858;pLink2_3077;pLink2_2218;pLink2_2614;pLink2_3224;pLink2_758;pLink2_3937;pLink2_3893;pLink2_2116;pLink2_2745;pLink2_1024;pLink2_3425;pLink2_3673;pLink2_4076;pLink2_4085;pLink2_2256;pLink2_2628;pLink2_1884;pLink2_4035;pLink2_3130,P0AG55,,,false,P0A7K2,,,false,,4.315,false,true,false,false,20,14,14,Between,0,0.001,0.002,,0,0,0
85,878;1261;1491;1503;1656;1127;1335;639;172;1014;1537;1631;1652;1520;779,2304;2514;1070;1794;3561;3065;3721;1710;718;1128;1316;3052;3556;1757;2049,pLink2_1953;pLink2_3334;pLink2_1404;pLink2_986;pLink2_1445;pLink2_1331;pLink2_3697;pLink2_3451;pLink2_2856;pLink2_3610;pLink2_1231;pLink2_127;pLink2_896;pLink2_523;pLink2_1467;pLink2_2897;pLink2_3091;pLink2_3377;pLink2_3549;pLink2_3431;pLink2_1283;pLink2_2080;pLink2_1636,P0AEH5,,,false,P64581,,,false,,4.299,false,true,false,false,23,15,15,Between,0,0.001,0.002,,0,0,0
403,590;1517;736;869;915;559;1334;1054;1621;1510;493;1070;873;1043;1399;1697,1595;1764;1927;2280;2426;1524;3714;1091;1294;1429;1341;2878;1617;2788;3287;1196,pLink2_1092;pLink2_1292;pLink2_1985;pLink2_1487;pLink2_1922;pLink2_2095;pLink2_1005;pLink2_3601;pLink2_2574;pLink2_2888;pLink2_3312;pLink2_884;pLink2_2575;pLink2_774;pLink2_2633;pLink2_1929;pLink2_2535;pLink2_3805;pLink2_2150;pLink2_3420;pLink2_2785,P02359,,,false,P0AG67,,,false,,4.232,false,true,false,false,21,16,16,Between,0,0.001,0.002,,0,0,0
634,1331;730;637;735;876;1529;1578;1089;1224;638;870,3706;1114;1918;804;1706;1866;2423;1551;1486;2477;898;3357;1484;1709;2014;1305,pLink2_3592;pLink2_2482;pLink2_2602;pLink2_1475;pLink2_3753;pLink2_1227;pLink2_1485;pLink2_2092;pLink2_2893;pLink2_1936;pLink2_1348;pLink2_3731;pLink2_3072;pLink2_2156;pLink2_2706;pLink2_3201;pLink2_1234;pLink2_1230;pLink2_3361;pLink2_1923,P0A705,,,false,P0A7S3,,,false,,4.194,false,true,false,false,20,16,11,Between,0,0.001,0.002,,0,0,0
19,663;1008;1199;1511;104;1045;1659;1518;1286;765;1363;1336;914;1001;1005;1468;1383,1768;2674;2953;1432;603;2484;2696;1375;3543;1996;1780;3724;2424;766;2665;4172;3857,pLink2_1301;pLink2_2389;pLink2_3117;pLink2_887;pLink2_2608;pLink2_19;pLink2_2540;pLink2_3514;pLink2_3813;pLink2_1587;pLink2_1687;pLink2_3418;pLink2_1593;pLink2_3689;pLink2_3613;pLink2_2093;pLink2_2371;pLink2_2377;pLink2_4083;pLink2_3759,P0AFG6,,,false,P0AFG3,,,false,,4.177,false,true,false,false,20,17,17,Between,0,0.001,0.002,,0,0,0
