ProteinGroupID,ProteinGroup,Names,Descriptions,Sequence,Crosslinker,Score,isDecoy,isTT,isTD,isDD,PSM IDs,fdrGroup,fdr,ifdr,PEP,
10,Q8N2W9,,,,,∞,false,true,false,false,pLink2_5,Between only,0.13388429752066117,NaN,0.0,0.4478738
680,P75683,,,,,∞,false,true,false,false,pLink2_3323,Between only,0.13388429752066117,NaN,0.0,0.9994740351
171,P0A7J7,,,,,∞,false,true,false,false,pLink2_3634;pLink2_1263;pLink2_2580;pLink2_2374;pLink2_3011;pLink2_1583;pLink2_3664;pLink2_241;pLink2_269;pLink2_2049;pLink2_1967;pLink2_958;pLink2_1430;pLink2_1633;pLink2_1892;pLink2_2027;pLink2_3004;pLink2_3097;pLink2_3175;pLink2_1698;pLink2_2106;pLink2_1378;pLink2_449;pLink2_1937;pLink2_2115;pLink2_1241;pLink2_1852;pLink2_494;pLink2_2038;pLink2_2253;pLink2_2343;pLink2_2352;pLink2_3318;pLink2_3702;pLink2_142;pLink2_2104;pLink2_3608;pLink2_2043;pLink2_2301,Between only,0.13388429752066117,NaN,0.0,0.99998746283
29,P0A6Y1,,,,,∞,false,true,false,false,pLink2_2383;pLink2_1970;pLink2_2145;pLink2_2181;pLink2_2665;pLink2_2750;pLink2_3837;pLink2_16;pLink2_2580;pLink2_1730;pLink2_3628;pLink2_426;pLink2_126;pLink2_306;pLink2_377;pLink2_681;pLink2_809;pLink2_1859;pLink2_1930;pLink2_2300;pLink2_2910;pLink2_3115;pLink2_802;pLink2_1599;pLink2_3637;pLink2_375;pLink2_492;pLink2_2678;pLink2_1703;pLink2_3356;pLink2_1171;pLink2_2357;pLink2_2704;pLink2_3506;pLink2_3823;pLink2_3883;pLink2_381;pLink2_3204;pLink2_3403;pLink2_469;pLink2_1071;pLink2_1084;pLink2_1415;pLink2_86;pLink2_1305;pLink2_2303;pLink2_3489;pLink2_600;pLink2_1049;pLink2_3331;pLink2_937;pLink2_1264;pLink2_1502;pLink2_2104;pLink2_3608;pLink2_2298;pLink2_947;pLink2_1329;pLink2_434;pLink2_702;pLink2_1403;pLink2_1563;pLink2_2729;pLink2_3300;pLink2_3339;pLink2_3122;pLink2_2798;pLink2_3118;pLink2_3741;pLink2_1973;pLink2_2281;pLink2_3070;pLink2_2872;pLink2_154;pLink2_3252;pLink2_1324;pLink2_2339;pLink2_249;pLink2_663;pLink2_3465;pLink2_872;pLink2_2024;pLink2_2340;pLink2_2870;pLink2_1567;pLink2_2965;pLink2_1933;pLink2_845;pLink2_966;pLink2_1693;pLink2_3076;pLink2_116;pLink2_1073;pLink2_1906;pLink2_1946;pLink2_3113;pLink2_3344;pLink2_3602;pLink2_3818;pLink2_3874;pLink2_4072;pLink2_4091;pLink2_2857;pLink2_383;pLink2_1744;pLink2_1965;pLink2_2310;pLink2_2410;pLink2_2468;pLink2_2768;pLink2_2902;pLink2_3205;pLink2_3567;pLink2_822;pLink2_834;pLink2_2192;pLink2_2416;pLink2_2770;pLink2_3295;pLink2_4004;pLink2_565;pLink2_1617;pLink2_525;pLink2_630;pLink2_783;pLink2_3057;pLink2_3017;pLink2_2505;pLink2_3291;pLink2_3336;pLink2_2963;pLink2_2999;pLink2_2436;pLink2_2558;pLink2_3615;pLink2_1519;pLink2_1699;pLink2_2009;pLink2_2836;pLink2_3646;pLink2_1698;pLink2_2106;pLink2_588;pLink2_4053;pLink2_3576;pLink2_1206;pLink2_2469;pLink2_310;pLink2_90;pLink2_211;pLink2_339;pLink2_571;pLink2_652;pLink2_686;pLink2_712;pLink2_819;pLink2_1090;pLink2_1095;pLink2_1132;pLink2_1156;pLink2_1204;pLink2_1952;pLink2_2582;pLink2_3884;pLink2_2309;pLink2_3073;pLink2_1954;pLink2_131;pLink2_162;pLink2_198;pLink2_221;pLink2_229;pLink2_295;pLink2_351;pLink2_361;pLink2_412;pLink2_433;pLink2_446;pLink2_458;pLink2_576;pLink2_589;pLink2_621;pLink2_679;pLink2_682;pLink2_709;pLink2_713;pLink2_723;pLink2_746;pLink2_761;pLink2_865;pLink2_881;pLink2_904;pLink2_959;pLink2_975;pLink2_976;pLink2_978;pLink2_1001;pLink2_1038;pLink2_1040;pLink2_1043;pLink2_1121;pLink2_1133;pLink2_1147;pLink2_1184;pLink2_1243;pLink2_1262;pLink2_1311;pLink2_1362;pLink2_1380;pLink2_1435;pLink2_1453;pLink2_1456;pLink2_1460;pLink2_1500;pLink2_1514;pLink2_1539;pLink2_1562;pLink2_1571;pLink2_1646;pLink2_1674;pLink2_1675;pLink2_1739;pLink2_1749;pLink2_1754;pLink2_1795;pLink2_1808;pLink2_1830;pLink2_1835;pLink2_1838;pLink2_1898;pLink2_1944;pLink2_1976;pLink2_2013;pLink2_2019;pLink2_2023;pLink2_2029;pLink2_2046;pLink2_2055;pLink2_2059;pLink2_2065;pLink2_2069;pLink2_2111;pLink2_2134;pLink2_2143;pLink2_2161;pLink2_2191;pLink2_2202;pLink2_2206;pLink2_2208;pLink2_2227;pLink2_2232;pLink2_2317;pLink2_2344;pLink2_2348;pLink2_2426;pLink2_2442;pLink2_2495;pLink2_2508;pLink2_2512;pLink2_2565;pLink2_2569;pLink2_2601;pLink2_2610;pLink2_2645;pLink2_2651;pLink2_2688;pLink2_2703;pLink2_2726;pLink2_2734;pLink2_2735;pLink2_2753;pLink2_2757;pLink2_2792;pLink2_2842;pLink2_2865;pLink2_2875;pLink2_3059;pLink2_3127;pLink2_3133;pLink2_3226;pLink2_3362;pLink2_3401;pLink2_3539;pLink2_3707;pLink2_4157;pLink2_236;pLink2_507;pLink2_886;pLink2_1673;pLink2_189;pLink2_231;pLink2_1271;pLink2_727;pLink2_1877;pLink2_3757;pLink2_119;pLink2_1536;pLink2_243;pLink2_643;pLink2_1511;pLink2_1077;pLink2_3836;pLink2_109;pLink2_179;pLink2_463;pLink2_1224;pLink2_1800;pLink2_2262;pLink2_2882;pLink2_3687;pLink2_3981;pLink2_4166;pLink2_3997;pLink2_1157;pLink2_1671;pLink2_2898;pLink2_3428;pLink2_3778;pLink2_4090;pLink2_1715;pLink2_513;pLink2_2940;pLink2_1720;pLink2_794;pLink2_2918;pLink2_355;pLink2_1773;pLink2_2174;pLink2_2264;pLink2_3870,Between only,0.13388429752066117,NaN,0.0,0.9999999999999731
763,decoy:P32053,decoy:,decoy:,,,∞,true,false,true,false,pLink2_4172,Between only,0.13388429752066117,NaN,0.0,0.4602841
504,Q86VN1,,,,,∞,false,true,false,false,pLink2_1032,Between only,0.13311148086522462,NaN,0.0,0.7613345
366,P27126,,,,,∞,false,true,false,false,pLink2_527,Between only,0.13311148086522462,NaN,0.0,0.6512924
310,P0AG74,,,,,∞,false,true,false,false,pLink2_399,Between only,0.13311148086522462,NaN,0.0,0.610601
383,Q9NVS2,,,,,∞,false,true,false,false,pLink2_1477;pLink2_1637;pLink2_562,Between only,0.13311148086522462,NaN,0.0,0.8868237999999999
491,P0AGB3,,,,,∞,false,true,false,false,pLink2_977;pLink2_1059;pLink2_1310,Between only,0.13311148086522462,NaN,0.0,0.8254849
