ProteinGroupPairID,LinkIDs,PeptidePairIDs,PSMIDs,Protein1,Name1,Descriptions1,isDecoy1,Protein2,Name2,Description2,isDecoy2,Crosslinker,Score,isDecoy,isTT,isTD,isDD,count PSMs,count peptide pairs,count links,fdrGroup,fdr,ifdr,PEP,,top link fdr,top peptide fdr,top psm_fdr
16,235;1011;1129;823;582;591;596;282;923;1115;62;1305;1192;1150;1341;750;552;1096;1217;918;1281;1070;66;872;1288;845;758;767;996;1004;662;510;191;346;822;775;1044;1243;1271;1320;1222;559;883,713;1974;3401;1121;439;1495;610;477;796;2495;2989;411;2364;1619;965;1064;1915;1405;3289;1137;1265;858;753;417;534;994;2213;1939;1970;2829;1702;596;1310;643;584;1398;1995;639;402;716;474;1306;1424;1842,pLink2_281;pLink2_2774;pLink2_3281;pLink2_1886;pLink2_348;pLink2_40;pLink2_1116;pLink2_218;pLink2_875;pLink2_362;pLink2_75;pLink2_356;pLink2_2286;pLink2_3224;pLink2_18;pLink2_2466;pLink2_2927;pLink2_1267;pLink2_1459;pLink2_893;pLink2_1123;pLink2_1993;pLink2_2068;pLink2_632;pLink2_1603;pLink2_1014;pLink2_3164;pLink2_939;pLink2_2479;pLink2_2261;pLink2_1737;pLink2_1645;pLink2_415;pLink2_3039;pLink2_24;pLink2_2064;pLink2_2461;pLink2_2424;pLink2_1955;pLink2_1630;pLink2_1669;pLink2_2677;pLink2_2731;pLink2_1321;pLink2_907;pLink2_220;pLink2_472;pLink2_1883;pLink2_1697;pLink2_2931;pLink2_2549;pLink2_1534;pLink2_2023;pLink2_2730;pLink2_2832;pLink2_3233;pLink2_903;pLink2_3046;pLink2_1037;pLink2_2121,P0A8T7,,,false,P0A8V2,,,false,,6.505,false,true,false,false,60,44,43,Between,-0.019,-0.019,-0.002,,-0.01,-0.01,-0.004
280,1064;598;1195;765;1081;736;791;763;895;1153;456;879;329;450;384;921;974;469;948;1326;635,3147;1504;640;1417;1650;1872;460;1727;1070;1459;501;430;494;888;1170;1003;1229;2732;1212;2620;664;2400;1607,pLink2_3016;pLink2_1129;pLink2_377;pLink2_3061;pLink2_1666;pLink2_3104;pLink2_1557;pLink2_1744;pLink2_1656;pLink2_2164;pLink2_2450;pLink2_3184;pLink2_794;pLink2_1242;pLink2_33;pLink2_77;pLink2_2104;pLink2_443;pLink2_753;pLink2_562;pLink2_821;pLink2_827;pLink2_2569;pLink2_805;pLink2_2440;pLink2_3271;pLink2_2986;pLink2_2177;pLink2_1248,P0A705,,,false,P0A7V3,,,false,,4.503,false,true,false,false,29,23,21,Between,-0.019,-0.019,-0.002,,-0.01,-0.01,-0.004
244,906;1283;1314;727;1336;293;1060;1311;1259;1317;406;1322,2411;747;1640;1847;1568;817;2459;550;1253;2579;1061;2727,pLink2_2190;pLink2_3187;pLink2_2149;pLink2_2776;pLink2_2714;pLink2_1527;pLink2_3198;pLink2_3326;pLink2_376;pLink2_2991;pLink2_2558;pLink2_3227;pLink2_2235;pLink2_2191;pLink2_2650;pLink2_3185;pLink2_628;pLink2_2997;pLink2_2939,P0AG55,,,false,P0A7K2,,,false,,4.129,false,true,false,false,19,12,12,Between,-0.019,-0.019,-0.002,,-0.01,-0.01,-0.004
60,342;292;107;743;166;457;989;786;348;155;318;991;291;364;378;1190;124;524;956;564;884;1245;531;174;391;1244,913;816;499;1898;601;933;2792;2024;922;585;867;2795;814;961;986;1328;527;1349;2657;1433;2155;1533;1363;614;1018;1185,pLink2_467;pLink2_374;pLink2_94;pLink2_1584;pLink2_177;pLink2_766;pLink2_2638;pLink2_1732;pLink2_476;pLink2_164;pLink2_424;pLink2_2641;pLink2_372;pLink2_517;pLink2_543;pLink2_1471;pLink2_1208;pLink2_110;pLink2_952;pLink2_2483;pLink2_1047;pLink2_2122;pLink2_1856;pLink2_2025;pLink2_968;pLink2_189;pLink2_579;pLink2_1644;pLink2_2314,P0A9P0,,,false,P0AFG6,,,false,,4.025,false,true,false,false,29,26,26,Between,-0.019,-0.019,-0.002,,-0.01,-0.01,-0.004
179,574;1351;403;1104;422;464;679;1327;488;1220;228;1344;953;875;1113,1453;431;1050;1389;1102;1035;1705;2798;1249;1223;704;948;2652;2327;2808,pLink2_1068;pLink2_2717;pLink2_2980;pLink2_3319;pLink2_616;pLink2_3182;pLink2_678;pLink2_792;pLink2_1362;pLink2_3148;pLink2_3067;pLink2_843;pLink2_900;pLink2_2640;pLink2_274;pLink2_621;pLink2_3015;pLink2_2817;pLink2_2478;pLink2_2087;pLink2_3215,P02359,,,false,P0AG67,,,false,,3.994,false,true,false,false,21,15,15,Between,-0.019,-0.019,-0.002,,-0.01,-0.01,-0.004
461,1147;910;1268;516;692;1176;547;1158;1210;1175;1074;678;1229;1028;1095,1177;1218;492;1325;1757;957;1397;950;1547;1015;1632;1704;510;2983;2463,pLink2_1115;pLink2_763;pLink2_2200;pLink2_2511;pLink2_2101;pLink2_924;pLink2_1421;pLink2_1278;pLink2_1162;pLink2_1005;pLink2_619;pLink2_1470;pLink2_1878;pLink2_1178;pLink2_881;pLink2_1492;pLink2_3062;pLink2_1361;pLink2_2581;pLink2_1144;pLink2_2847;pLink2_3158,P0A6X7,,,false,P0A6Y1,,,false,,3.947,false,true,false,false,22,15,15,Between,-0.019,-0.019,-0.002,,-0.01,-0.01,-0.004
115,163;1205;1148;599;603;630;1214;772;520;178;549;925;1184;106;698;638,595;1038;872;1505;941;1027;1030;1313;1984;1332;620;1400;1916;1491;706;497;1392;1610,pLink2_171;pLink2_1445;pLink2_1433;pLink2_1415;pLink2_429;pLink2_1131;pLink2_1135;pLink2_1236;pLink2_1923;pLink2_1193;pLink2_2396;pLink2_1646;pLink2_1684;pLink2_933;pLink2_195;pLink2_1008;pLink2_2300;pLink2_1298;pLink2_1275;pLink2_1407;pLink2_1633;pLink2_91;pLink2_1438;pLink2_1253,P0A7K2,,,false,P0A7J3,,,false,,3.842,false,true,false,false,24,18,16,Between,-0.019,-0.019,-0.002,,-0.01,-0.01,-0.004
342,504;936;962;862;1073;766;394;1339;697;1005;916;900;1331,1291;1041;1456;2267;680;489;1024;3149;1771;2889;2462;2395;2169,pLink2_888;pLink2_2351;pLink2_2501;pLink2_2016;pLink2_3051;pLink2_83;pLink2_1083;pLink2_588;pLink2_3211;pLink2_3322;pLink2_1437;pLink2_2743;pLink2_2249;pLink2_2172;pLink2_3101;pLink2_3295,P29745,,,false,P09373,,,false,,3.6,false,true,false,false,16,13,13,Between,-0.019,-0.019,-0.002,,-0.01,-0.01,-0.004
176,252;1009;1265;546;225;1279;999;1346;1333,684;2909;859;1080;697;459;2843;472;528,pLink2_315;pLink2_2767;pLink2_2100;pLink2_2504;pLink2_1004;pLink2_267;pLink2_2132;pLink2_3246;pLink2_2693;pLink2_2097;pLink2_3221;pLink2_3270;pLink2_3141;pLink2_3320,P0AGE9,,,false,P0A836,,,false,,3.429,false,true,false,false,14,9,9,Between,-0.019,-0.019,-0.002,,-0.01,-0.01,-0.004
378,1006;734;760;533;682;1048;1075;1208;1213;1116;430;632,2289;1357;1946;1370;1721;1119;3191;1347;1138;740;1124;2390;600,pLink2_2750;pLink2_1553;pLink2_1638;pLink2_976;pLink2_1380;pLink2_2959;pLink2_3064;pLink2_950;pLink2_2173;pLink2_717;pLink2_3190;pLink2_3234;pLink2_701;pLink2_2167;pLink2_176;pLink2_433,P64581,,,false,P0AEH5,,,false,,3.383,false,true,false,false,16,13,12,Between,-0.019,-0.019,-0.002,,-0.01,-0.01,-0.004
