ProteinGroupID,ProteinGroup,Names,Descriptions,Sequence,Crosslinker,Score,isDecoy,isTT,isTD,isDD,PSM IDs,fdrGroup,fdr,ifdr,PEP,
339,P0A9E5,,,,,∞,false,true,false,false,pLink2_3383;pLink2_608,Between only,0.22281639928698752,NaN,0.0,0.6358945
43,P0A7J7,,,,,∞,false,true,false,false,pLink2_383;pLink2_2467;pLink2_1142;pLink2_1297;pLink2_665;pLink2_345;pLink2_26;pLink2_1097;pLink2_463;pLink2_573;pLink2_856;pLink2_1337,Between only,0.22281639928698752,NaN,0.0,0.98282591
23,P0A6Y1,,,,,∞,false,true,false,false,pLink2_1523;pLink2_1887;pLink2_2265;pLink2_2675;pLink2_12;pLink2_474;pLink2_535;pLink2_737;pLink2_1342;pLink2_1413;pLink2_102;pLink2_550;pLink2_1144;pLink2_2581;pLink2_506;pLink2_619;pLink2_1322;pLink2_1470;pLink2_166;pLink2_193;pLink2_609;pLink2_667;pLink2_1239;pLink2_1269;pLink2_402;pLink2_1740;pLink2_1946;pLink2_1282;pLink2_3062;pLink2_125;pLink2_527;pLink2_748;pLink2_1176;pLink2_1475;pLink2_1480;pLink2_1526;pLink2_266;pLink2_435;pLink2_1005;pLink2_389;pLink2_554;pLink2_758;pLink2_646;pLink2_2157;pLink2_3251;pLink2_810;pLink2_1687;pLink2_2200;pLink2_924;pLink2_844;pLink2_2326;pLink2_2963;pLink2_86;pLink2_104;pLink2_151;pLink2_152;pLink2_194;pLink2_196;pLink2_270;pLink2_295;pLink2_369;pLink2_373;pLink2_432;pLink2_681;pLink2_697;pLink2_747;pLink2_857;pLink2_869;pLink2_915;pLink2_928;pLink2_1371;pLink2_1397;pLink2_2101;pLink2_2511;pLink2_237;pLink2_1178;pLink2_1878;pLink2_1421;pLink2_2964;pLink2_576;pLink2_881;pLink2_1492;pLink2_763;pLink2_1115;pLink2_2582;pLink2_512;pLink2_1162;pLink2_1278;pLink2_313;pLink2_896;pLink2_2250;pLink2_3158;pLink2_824;pLink2_1725;pLink2_1174;pLink2_120;pLink2_2815;pLink2_1511;pLink2_1907;pLink2_2847;pLink2_1988;pLink2_2153;pLink2_2863;pLink2_2940;pLink2_2541;pLink2_408;pLink2_1118;pLink2_1361;pLink2_912;pLink2_954;pLink2_1212;pLink2_1610;pLink2_1304,Between only,0.22281639928698752,NaN,0.0,0.999995491764
721,decoy:Q2EES9,decoy:,decoy:,,,∞,true,false,true,false,pLink2_3433,Between only,0.22281639928698752,NaN,0.0,0.4713275
746,decoy:Q99963,decoy:,decoy:,,,∞,true,false,true,false,pLink2_3451,Between only,0.2222222222222222,NaN,0.0,0.45661260000000004
371,P0ACD4,,,,,∞,false,true,false,false,pLink2_713,Between only,0.22043010752688172,NaN,0.0,0.6590667
190,P00634,,,,,∞,false,true,false,false,pLink2_208,Between only,0.22043010752688172,NaN,0.0,0.5207164
531,Q5VXT5,,,,,∞,false,true,false,false,pLink2_1829,Between only,0.22043010752688172,NaN,0.0,0.90899871
719,decoy:P76168,decoy:,decoy:,,,∞,true,false,true,false,pLink2_3429,Between only,0.22043010752688172,NaN,0.0,0.47814690000000004
383,P0ADP7,,,,,∞,false,true,false,false,pLink2_1378;pLink2_757,Between only,0.21981981981981982,NaN,0.0,0.8136479
