ProteinGroupPairID,LinkIDs,PeptidePairIDs,PSMIDs,Protein1,Name1,Descriptions1,isDecoy1,Protein2,Name2,Description2,isDecoy2,Crosslinker,Score,isDecoy,isTT,isTD,isDD,count PSMs,count peptide pairs,count links,fdrGroup,fdr,ifdr,PEP,,top link fdr,top peptide fdr,top psm_fdr
1809,1985;2047;1921;1907;1943;1924;2067;1829;2055;2027;2052;1938;2030;2018;2059;2045;1889;2017;2054;1948;1908;1917;2021;1891;1933;1945;2061;1875;2010;1936;2038;2036;1877;2032;2025;1964;1992;1870;2062;2070;1955;2068;1864;2028;2064;2019;2022;1999;2049;1926;1909;2012;2031;2046;2020;1935;2051;2006;2016;2023;1910;2043;1859;2071;2002;1898;1952;1960;2037;2044;1860;1966;2065;1957;2005;1956;2063;1998;1932;1981;1946;2035;2033;1919;1949;1965;2001;2024;1954;2034;1923;2042,7109;7708;7408;7089;7527;7442;7356;6963;7183;7521;7814;7492;7621;7205;7811;7528;6981;7403;7625;7717;7278;7390;7255;7167;6936;7557;7150;7360;7085;6953;7051;7046;7090;7081;7099;7407;7446;7768;7129;7073;7028;7137;6989;7522;7029;7533;7590;7385;6962;7127;6973;7478;7286;7032;7570;6972;6995;7223;7378;7548;7154;7169;7580;7194;7562;6980;7326;6955;7184;7755;7791;6996;7157;7554;6976;7738;7361;7773;7156;7781;7191;7076;7039;7549;7053;7615;7064;7422;7239;7684;7800;7179;7052;7774;7597;7402;7588,ProteinProspector640;ProteinProspector732;ProteinProspector25;ProteinProspector46;ProteinProspector432;ProteinProspector569;ProteinProspector192;ProteinProspector397;ProteinProspector37;ProteinProspector63;ProteinProspector243;ProteinProspector877;ProteinProspector323;ProteinProspector415;ProteinProspector550;ProteinProspector187;ProteinProspector225;ProteinProspector24;ProteinProspector4;ProteinProspector255;ProteinProspector208;ProteinProspector122;ProteinProspector220;ProteinProspector400;ProteinProspector0;ProteinProspector2;ProteinProspector139;ProteinProspector19;ProteinProspector679;ProteinProspector202;ProteinProspector438;ProteinProspector16;ProteinProspector6;ProteinProspector123;ProteinProspector562;ProteinProspector447;ProteinProspector174;ProteinProspector414;ProteinProspector673;ProteinProspector515;ProteinProspector213;ProteinProspector281;ProteinProspector168;ProteinProspector182;ProteinProspector293;ProteinProspector480;ProteinProspector753;ProteinProspector467;ProteinProspector181;ProteinProspector324;ProteinProspector86;ProteinProspector786;ProteinProspector273;ProteinProspector84;ProteinProspector163;ProteinProspector13;ProteinProspector523;ProteinProspector741;ProteinProspector117;ProteinProspector201;ProteinProspector206;ProteinProspector266;ProteinProspector41;ProteinProspector713;ProteinProspector557;ProteinProspector768;ProteinProspector101;ProteinProspector320;ProteinProspector327;ProteinProspector60;ProteinProspector21;ProteinProspector5;ProteinProspector61;ProteinProspector30;ProteinProspector42;ProteinProspector124;ProteinProspector807;ProteinProspector134;ProteinProspector309;ProteinProspector249;ProteinProspector83;ProteinProspector205;ProteinProspector197;ProteinProspector410;ProteinProspector241;ProteinProspector303;ProteinProspector532;ProteinProspector481;ProteinProspector670;ProteinProspector347;ProteinProspector568;ProteinProspector361;ProteinProspector555;ProteinProspector304;ProteinProspector421;ProteinProspector79;ProteinProspector259;ProteinProspector22;ProteinProspector56;ProteinProspector422;ProteinProspector77;ProteinProspector527;ProteinProspector138;ProteinProspector278;ProteinProspector45;ProteinProspector1;ProteinProspector290;ProteinProspector560;ProteinProspector110;ProteinProspector649;ProteinProspector261;ProteinProspector252;ProteinProspector545;ProteinProspector277;ProteinProspector18;ProteinProspector826;ProteinProspector433;ProteinProspector14;ProteinProspector34;ProteinProspector109;ProteinProspector595;ProteinProspector306;ProteinProspector656;ProteinProspector85;ProteinProspector50;ProteinProspector82;ProteinProspector150;ProteinProspector164;ProteinProspector90;ProteinProspector55;ProteinProspector93;ProteinProspector825;ProteinProspector33;ProteinProspector131;ProteinProspector121;ProteinProspector209;ProteinProspector58;ProteinProspector284;ProteinProspector574;ProteinProspector59;ProteinProspector32;ProteinProspector652;ProteinProspector114;ProteinProspector419;ProteinProspector470;ProteinProspector466;ProteinProspector547;ProteinProspector292;ProteinProspector701;ProteinProspector790;ProteinProspector147;ProteinProspector75;ProteinProspector199;ProteinProspector115;ProteinProspector198;ProteinProspector440;ProteinProspector120;ProteinProspector40;ProteinProspector350;ProteinProspector610;ProteinProspector311;ProteinProspector177;ProteinProspector66;ProteinProspector78;ProteinProspector240;ProteinProspector412;ProteinProspector67;ProteinProspector99,P0A8T7,null,DNA-directed RNA polymerase subunit beta',false,P0A8V2,null,DNA-directed RNA polymerase subunit beta,false,,126.149,false,true,false,false,168,97,92,Between,0,0,0.011,,0,0,0
1716,1982;1984;1987;1989;1878;1995;2040;2029;1737;1882;1947;1854;1969;1890;1976;2058;1979;1968;2004;2056;1971;1904;2050;1972;1834;2069;2057;1841;1994;1959;1990;1977;1913;1918;2009;2008;1869;1850;1879;1915;1853;1930;2015;1856;1866;1980;1842;1993;1830;1849;1896;1940;2007;1807;1973;1858;2041;2013;1901;2048;1996;2000;2066;1848;1988;1846;1929;1986;1914;2011;1975;1974;1874;1991;1997;1828;1963;2053;1911,7074;6983;7070;6917;7100;6935;7260;7394;6775;7118;6842;7003;6943;6923;7027;7218;7069;6899;7057;7082;6946;7262;7063;6947;6969;6940;7043;6948;7018;6957;6952;6992;7192;7391;7006;7080;7068;6998;7104;7351;7004;7519;7301;6934;7021;6950;6954;7022;6956;6916;7163;7327;7264;6925;6937;7012;6932;7251;7199;6988;7257;7189;6834;6945;6961;6991;6941;6986;7023;6970;6939;6982;7026;7067;6910;6959;6905;7008;7155,ProteinProspector664;ProteinProspector766;ProteinProspector564;ProteinProspector791;ProteinProspector556;ProteinProspector765;ProteinProspector567;ProteinProspector736;ProteinProspector740;ProteinProspector644;ProteinProspector537;ProteinProspector44;ProteinProspector184;ProteinProspector47;ProteinProspector338;ProteinProspector1065;ProteinProspector720;ProteinProspector889;ProteinProspector910;ProteinProspector836;ProteinProspector810;ProteinProspector897;ProteinProspector681;ProteinProspector811;ProteinProspector764;ProteinProspector175;ProteinProspector258;ProteinProspector617;ProteinProspector752;ProteinProspector770;ProteinProspector715;ProteinProspector942;ProteinProspector660;ProteinProspector234;ProteinProspector362;ProteinProspector334;ProteinProspector462;ProteinProspector880;ProteinProspector789;ProteinProspector576;ProteinProspector355;ProteinProspector517;ProteinProspector685;ProteinProspector780;ProteinProspector869;ProteinProspector871;ProteinProspector315;ProteinProspector223;ProteinProspector388;ProteinProspector822;ProteinProspector264;ProteinProspector149;ProteinProspector797;ProteinProspector861;ProteinProspector572;ProteinProspector619;ProteinProspector885;ProteinProspector874;ProteinProspector623;ProteinProspector676;ProteinProspector849;ProteinProspector665;ProteinProspector518;ProteinProspector449;ProteinProspector244;ProteinProspector575;ProteinProspector443;ProteinProspector357;ProteinProspector775;ProteinProspector842;ProteinProspector737;ProteinProspector490;ProteinProspector835;ProteinProspector322;ProteinProspector282;ProteinProspector375;ProteinProspector832;ProteinProspector805;ProteinProspector582;ProteinProspector865;ProteinProspector857;ProteinProspector533;ProteinProspector726;ProteinProspector876;ProteinProspector846;ProteinProspector662;ProteinProspector231;ProteinProspector337;ProteinProspector499;ProteinProspector915;ProteinProspector746;ProteinProspector873;ProteinProspector827;ProteinProspector908;ProteinProspector520;ProteinProspector508;ProteinProspector263;ProteinProspector434;ProteinProspector642;ProteinProspector428;ProteinProspector506;ProteinProspector727;ProteinProspector452;ProteinProspector581;ProteinProspector455;ProteinProspector546;ProteinProspector829;ProteinProspector383;ProteinProspector408;ProteinProspector552;ProteinProspector847;ProteinProspector535;ProteinProspector772;ProteinProspector851;ProteinProspector328;ProteinProspector668;ProteinProspector694;ProteinProspector491;ProteinProspector370;ProteinProspector386;ProteinProspector831;ProteinProspector781;ProteinProspector858;ProteinProspector747;ProteinProspector755;ProteinProspector774;ProteinProspector468;ProteinProspector606;ProteinProspector398;ProteinProspector881;ProteinProspector929;ProteinProspector784;ProteinProspector369;ProteinProspector384;ProteinProspector669;ProteinProspector539,P0A9P0,null,Dihydrolipoyl dehydrogenase,false,P0AFG6,null,Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex,false,,100.018,false,true,false,false,136,79,79,Between,0,0.002,0.011,,0,0,0
1413,1559;1888;1876;1567;1511;1663;1745;1674;1937;1455;1865;1750;1967;1746;1691;1741;1782;1922;1794;1892;1661;1886;1958;1756;1885;1707;1832;1833;1953;1961;1500;1537;1565;1812;1895;1788;1639;1887;1906;1951;1489;1438;1797;1934;1905;1978;1705;1950;1652;1590;1939;1920;1970,6377;6480;6318;6390;6258;6375;6759;6604;6864;6119;6478;6426;5961;6481;6642;6602;6880;6203;6904;6471;6561;6697;5496;5973;6683;6529;5551;6430;6191;6715;6228;6300;6383;6928;6652;6868;6382;5844;6731;6421;6199;6070;6175;6839;6486;6267;6084;6685;5755;6360;5542;6128;6795,ProteinProspector1465;ProteinProspector1046;ProteinProspector1066;ProteinProspector994;ProteinProspector1269;ProteinProspector1451;ProteinProspector1581;ProteinProspector1271;ProteinProspector1048;ProteinProspector1238;ProteinProspector917;ProteinProspector932;ProteinProspector1723;ProteinProspector1244;ProteinProspector1089;ProteinProspector1036;ProteinProspector964;ProteinProspector1016;ProteinProspector1118;ProteinProspector1047;ProteinProspector1198;ProteinProspector1053;ProteinProspector954;ProteinProspector933;ProteinProspector989;ProteinProspector936;ProteinProspector967;ProteinProspector1159;ProteinProspector1277;ProteinProspector1142;ProteinProspector1003;ProteinProspector1162;ProteinProspector952;ProteinProspector1071;ProteinProspector1708;ProteinProspector1866;ProteinProspector1158;ProteinProspector1000;ProteinProspector1139;ProteinProspector1260;ProteinProspector1315;ProteinProspector1395;ProteinProspector1170;ProteinProspector968;ProteinProspector1275;ProteinProspector1030;ProteinProspector1125;ProteinProspector995;ProteinProspector1020;ProteinProspector1612;ProteinProspector1511;ProteinProspector1454;ProteinProspector912;ProteinProspector953;ProteinProspector1187;ProteinProspector949;ProteinProspector1318;ProteinProspector1023;ProteinProspector1109;ProteinProspector987;ProteinProspector1026;ProteinProspector1120;ProteinProspector983;ProteinProspector1144;ProteinProspector1645;ProteinProspector1762;ProteinProspector1461;ProteinProspector1559;ProteinProspector906;ProteinProspector958;ProteinProspector946;ProteinProspector1096;ProteinProspector982;ProteinProspector1115;ProteinProspector1014;ProteinProspector1568;ProteinProspector1148;ProteinProspector1069;ProteinProspector1055;ProteinProspector1128;ProteinProspector1300;ProteinProspector1408;ProteinProspector909;ProteinProspector938;ProteinProspector928;ProteinProspector1029;ProteinProspector986;ProteinProspector963;ProteinProspector1045,P0A705,null,Translation initiation factor IF-2,false,P0A7V3,null,30S ribosomal protein S3,false,,55.177,false,true,false,false,89,53,53,Between,0,0.007,0.011,,0,0,0
1300,1638;1320;1660;1706;1662;1873;1774;1697;1700;1868;1944;1843;1942;1903;1611;1791;1893;1690;1523;1657;1884;1813;1897;1704;1855;1804;1861;1689;1962;1580;1862;1927;1740;1786;1753;1768;1912;1925;1720;1789;1835;1779;1902;1723;1817;1928;1900;1766;1701;1566;1655,6519;5689;6563;6601;6564;6406;6867;6541;6674;6603;6482;6531;6907;6372;6474;6833;6662;6639;6304;6558;6082;6689;6493;6682;5809;6641;6004;6613;6654;6420;5138;6863;6661;6772;6369;6036;6672;6007;6717;6892;6326;5683;6748;6735;6196;6828;6251;6796;6676;6388;6554,ProteinProspector1322;ProteinProspector2138;ProteinProspector1279;ProteinProspector1143;ProteinProspector1273;ProteinProspector1121;ProteinProspector1104;ProteinProspector973;ProteinProspector1179;ProteinProspector1168;ProteinProspector1063;ProteinProspector1236;ProteinProspector1124;ProteinProspector1025;ProteinProspector1328;ProteinProspector1172;ProteinProspector1310;ProteinProspector902;ProteinProspector934;ProteinProspector1085;ProteinProspector955;ProteinProspector1368;ProteinProspector943;ProteinProspector965;ProteinProspector1165;ProteinProspector1201;ProteinProspector1538;ProteinProspector1280;ProteinProspector1064;ProteinProspector1075;ProteinProspector913;ProteinProspector914;ProteinProspector1350;ProteinProspector1153;ProteinProspector939;ProteinProspector2031;ProteinProspector921;ProteinProspector945;ProteinProspector1839;ProteinProspector1203;ProteinProspector1094;ProteinProspector950;ProteinProspector1100;ProteinProspector1424;ProteinProspector1043;ProteinProspector1353;ProteinProspector927;ProteinProspector975;ProteinProspector1058;ProteinProspector951;ProteinProspector1032;ProteinProspector1659;ProteinProspector1807;ProteinProspector980;ProteinProspector984;ProteinProspector919;ProteinProspector1010;ProteinProspector1114;ProteinProspector948;ProteinProspector1099;ProteinProspector1518;ProteinProspector1513;ProteinProspector1813;ProteinProspector999;ProteinProspector1056;ProteinProspector1106;ProteinProspector1267;ProteinProspector1641;ProteinProspector911;ProteinProspector1012;ProteinProspector1002;ProteinProspector1074;ProteinProspector1008;ProteinProspector1163;ProteinProspector1447;ProteinProspector1286,P0AFG3,null,2-oxoglutarate dehydrogenase E1 component,false,P0AFG6,null,Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex,false,,50.68,false,true,false,false,76,51,51,Between,0,0.007,0.011,,0,0,0
618,1686;1823;1733;1681;1857;1831;1838;1863;1187;1871;1220;1471;1687;1844;1501;1826;1424;1916;1102;1349;1439;1677;1931;1164;1624;625;1346;1291;1365;1795;866;1579;1423;1787;1736;1983,6630;5823;6164;3230;5431;6453;6254;6626;5234;5103;5350;4755;6631;5136;6122;4124;5666;2369;4882;4928;5706;6610;4096;4517;6411;2430;4961;5592;5869;6170;3602;6419;5287;5319;6396;1739,ProteinProspector1212;ProteinProspector1560;ProteinProspector1182;ProteinProspector1086;ProteinProspector1558;ProteinProspector4631;ProteinProspector1262;ProteinProspector1136;ProteinProspector1341;ProteinProspector1221;ProteinProspector1185;ProteinProspector1344;ProteinProspector1214;ProteinProspector1127;ProteinProspector2598;ProteinProspector1202;ProteinProspector1489;ProteinProspector2726;ProteinProspector2488;ProteinProspector1682;ProteinProspector1209;ProteinProspector1240;ProteinProspector1226;ProteinProspector1607;ProteinProspector1256;ProteinProspector1409;ProteinProspector1816;ProteinProspector1072;ProteinProspector1333;ProteinProspector1661;ProteinProspector2977;ProteinProspector2036;ProteinProspector1765;ProteinProspector1232;ProteinProspector1225;ProteinProspector1037;ProteinProspector1550;ProteinProspector2694;ProteinProspector1336;ProteinProspector5400;ProteinProspector2043;ProteinProspector2248;ProteinProspector1973;ProteinProspector1632;ProteinProspector1438;ProteinProspector4001;ProteinProspector1422;ProteinProspector1819;ProteinProspector1456;ProteinProspector1772;ProteinProspector1076;ProteinProspector1171;ProteinProspector937;ProteinProspector990;ProteinProspector1388,P02359,null,30S ribosomal protein S7,false,P0AG67,null,30S ribosomal protein S1,false,,36.641,false,true,false,false,55,36,36,Between,0,0.008,0.011,,0,0,0
642,1867;686;1270;1840;656;1845;932;1792;1821;1656;902;1645;1770;1880;739;1480;1881;944;1386;1748;1431;1694;1747;1555;1825;1633,217;2770;2433;169;2576;390;4117;4235;3615;881;4041;2676;5629;67;3054;5913;307;4205;5908;5227;5468;3099;5404;5890;101;3757,ProteinProspector2551;ProteinProspector1977;ProteinProspector2050;ProteinProspector2259;ProteinProspector5080;ProteinProspector2302;ProteinProspector1967;ProteinProspector2517;ProteinProspector2696;ProteinProspector2797;ProteinProspector5281;ProteinProspector1906;ProteinProspector1587;ProteinProspector1700;ProteinProspector3699;ProteinProspector1494;ProteinProspector3377;ProteinProspector3627;ProteinProspector1666;ProteinProspector1786;ProteinProspector3042;ProteinProspector2712;ProteinProspector2392;ProteinProspector3797;ProteinProspector1643;ProteinProspector5183;ProteinProspector1763;ProteinProspector1673;ProteinProspector1820;ProteinProspector1458;ProteinProspector1311;ProteinProspector4815;ProteinProspector1658;ProteinProspector1563;ProteinProspector1396;ProteinProspector1484;ProteinProspector3644;ProteinProspector1936;ProteinProspector2125;ProteinProspector1653;ProteinProspector1801;ProteinProspector1485;ProteinProspector4744;ProteinProspector1533;ProteinProspector2453;ProteinProspector1483;ProteinProspector1387;ProteinProspector1276;ProteinProspector4092;ProteinProspector1914,P0A836,null,Succinate--CoA ligase [ADP-forming] subunit beta,false,P0AGE9,null,Succinate--CoA ligase [ADP-forming] subunit alpha,false,,29.024,false,true,false,false,50,26,26,Between,0,0.009,0.012,,0,0,0
712,823;1494;1239;1433;817;1165;1716;1384;1769;731;1802;1640;727;1765;1696;1308;1046;1375;1146;1343;1094;1810;1266;1430;1119;1037;1359;1827;1847;1941;1280;1479,3585;6219;2912;6024;3533;4439;5333;4233;2062;3017;5766;6525;2969;6014;6664;5648;4658;4582;5070;5637;4852;6110;5322;4443;4820;4617;4802;3725;4091;4554;5202;6176,ProteinProspector4247;ProteinProspector1618;ProteinProspector2416;ProteinProspector1789;ProteinProspector4294;ProteinProspector2695;ProteinProspector2021;ProteinProspector2184;ProteinProspector1935;ProteinProspector3150;ProteinProspector1297;ProteinProspector4847;ProteinProspector1384;ProteinProspector1585;ProteinProspector1314;ProteinProspector4860;ProteinProspector1685;ProteinProspector1822;ProteinProspector1180;ProteinProspector2197;ProteinProspector3185;ProteinProspector1948;ProteinProspector2757;ProteinProspector2066;ProteinProspector2982;ProteinProspector1574;ProteinProspector1354;ProteinProspector2316;ProteinProspector1805;ProteinProspector2895;ProteinProspector3219;ProteinProspector1984;ProteinProspector1885;ProteinProspector1815;ProteinProspector1968;ProteinProspector1691;ProteinProspector1452;ProteinProspector2216;ProteinProspector1274;ProteinProspector1432;ProteinProspector1441;ProteinProspector1942;ProteinProspector2275;ProteinProspector1660,P06959,null,Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex,false,P0A9P0,null,Dihydrolipoyl dehydrogenase,false,,28.069,false,true,false,false,44,32,32,Between,0,0.009,0.012,,0,0,0
606,1558;1851;1475;1136;1710;1682;1062;1525;1162;1246;1577;1775;990;1476;1450;998;638;1749;1852;1252;1467;1487;615;1206;1883;1169;1322;1588;1068;1651;1535;1693,5956;5918;6005;5018;4561;4644;4726;1578;5127;1079;6307;5555;4436;6166;6057;4405;2493;5779;5731;5476;6151;6195;2376;5040;5787;5009;1850;6427;4789;6503;3039;6643,ProteinProspector1469;ProteinProspector1381;ProteinProspector1073;ProteinProspector1667;ProteinProspector2824;ProteinProspector2189;ProteinProspector2128;ProteinProspector3200;ProteinProspector1887;ProteinProspector3093;ProteinProspector2770;ProteinProspector4068;ProteinProspector2723;ProteinProspector2383;ProteinProspector1427;ProteinProspector1614;ProteinProspector1696;ProteinProspector3403;ProteinProspector1675;ProteinProspector1736;ProteinProspector3373;ProteinProspector5336;ProteinProspector2061;ProteinProspector1687;ProteinProspector1191;ProteinProspector1210;ProteinProspector2355;ProteinProspector1698;ProteinProspector1647;ProteinProspector5481;ProteinProspector2533;ProteinProspector1541;ProteinProspector1433;ProteinProspector1420;ProteinProspector2672;ProteinProspector2150;ProteinProspector1411;ProteinProspector3049;ProteinProspector1296;ProteinProspector4791;ProteinProspector2378;ProteinProspector1195,P0AES4,null,DNA gyrase subunit A,false,P0AES6,null,DNA gyrase subunit B,false,,27.67,false,true,false,false,42,32,32,Between,0,0.009,0.012,,0,0,0
563,1145;1670;664;1441;1526;1824;1732;1778;1800;1801;1764;1688;570;1692;1899;988;1035;1140;1798;1460;1760;1219;1790;1683;1814,5073;2223;1176;28;662;3713;2515;5587;5833;5783;2738;600;2149;1728;4925;2527;4599;4934;4508;2667;262;5338;5536;5378;5994,ProteinProspector2769;ProteinProspector2611;ProteinProspector2333;ProteinProspector5196;ProteinProspector2324;ProteinProspector7819;ProteinProspector2233;ProteinProspector5546;ProteinProspector1578;ProteinProspector1156;ProteinProspector2102;ProteinProspector1911;ProteinProspector1545;ProteinProspector1773;ProteinProspector1449;ProteinProspector1542;ProteinProspector1229;ProteinProspector2054;ProteinProspector1771;ProteinProspector1730;ProteinProspector2028;ProteinProspector2753;ProteinProspector5692;ProteinProspector2471;ProteinProspector2141;ProteinProspector2426;ProteinProspector1331;ProteinProspector1134;ProteinProspector3423;ProteinProspector3255;ProteinProspector2793;ProteinProspector1561;ProteinProspector1455;ProteinProspector3149;ProteinProspector4380;ProteinProspector2048;ProteinProspector1562;ProteinProspector2493;ProteinProspector1739;ProteinProspector1440;ProteinProspector2464;ProteinProspector2288;ProteinProspector1233;ProteinProspector1846,P0A7K2,null,50S ribosomal protein L7/L12,false,P0AG55,null,50S ribosomal protein L6,false,,27.667,false,true,false,false,44,25,25,Between,0,0.009,0.012,,0,0,0
709,1628;1713;1440;1012;1314;1630;1552;778;1327;1148;1449;1111;868;722;1486;1204;1139;1676;1284;1534;997;1773;1894;1808;1609;1161;1283;996;1208;1392;1190;1557;1581;1642,4913;3942;4246;4282;4309;6040;3733;3291;4434;5089;6102;4916;3878;2930;5521;5037;5024;3574;5572;5598;4217;3740;5850;6201;6368;5123;5156;3925;5311;5920;5247;4297;5722;2981,ProteinProspector1332;ProteinProspector1716;ProteinProspector2799;ProteinProspector1750;ProteinProspector3336;ProteinProspector2178;ProteinProspector1326;ProteinProspector4110;ProteinProspector2509;ProteinProspector4560;ProteinProspector2111;ProteinProspector2763;ProteinProspector1735;ProteinProspector2927;ProteinProspector3989;ProteinProspector4907;ProteinProspector1646;ProteinProspector2530;ProteinProspector2805;ProteinProspector2110;ProteinProspector2828;ProteinProspector2271;ProteinProspector1520;ProteinProspector3360;ProteinProspector1742;ProteinProspector1657;ProteinProspector1149;ProteinProspector1623;ProteinProspector1650;ProteinProspector1633;ProteinProspector1325;ProteinProspector1372;ProteinProspector2719;ProteinProspector2264;ProteinProspector3375;ProteinProspector2523;ProteinProspector1922;ProteinProspector2592;ProteinProspector1474;ProteinProspector1423;ProteinProspector2297;ProteinProspector3071,P0A9P0,null,Dihydrolipoyl dehydrogenase,false,P0AFG8,null,Pyruvate dehydrogenase E1 component,false,,26.717,false,true,false,false,42,34,34,Between,0,0.009,0.012,,0,0,0
