LinkID,PeptidePairIDs,PSMIDs,Protein1,Name1,Description1,Decoy1,Protein2,Name2,Description2,Decoy2,fromSite,ToSite,Croslinkers,Score,isDecoy,isTT,isTD,isDD,count PSMs,count peptide pairs,fdrGroup,fdr,ifdr,PEP,,,Protein1FDR,Protein2FDR,PPIFDR,,top pep fdr,top psm fdr,,PPI id
1261,1057;2305,pLink2_3069;pLink2_3089;pLink2_3165;pLink2_2069;pLink2_2487,P0A7G2,,,false,P02359,,,false,127,154,,2.203,false,true,false,false,5,2,Between,-0.01,-0.01,-0.006,1,,0.215,0.215,-0.019,,-0.01,-0.004,,255
1342,852;912,pLink2_723;pLink2_2607;pLink2_2539;pLink2_1882;pLink2_1554;pLink2_1805,P61175,,,false,P0A7N4,,,false,28,41,,2.186,false,true,false,false,6,2,Between,-0.01,-0.01,-0.006,0.99,,0.169,0.215,-0.019,,-0.01,-0.004,,944
570,1591;2907;1446,pLink2_3191;pLink2_2239;pLink2_2566;pLink2_2765;pLink2_1060,P0A7M9,,,false,P62399,,,false,52,4,,2.104,false,true,false,false,5,3,Between,-0.01,-0.01,-0.006,1,,0.215,0.169,-0.019,,-0.01,-0.004,,408
1334,1227;1432,pLink2_3197;pLink2_3330;pLink2_3162;pLink2_3318,P0AFF6,,,false,P0A7Z4,,,false,38,298,,2,false,true,false,false,4,2,Between,-0.01,-0.01,-0.006,1,,0.215,0.215,-0.019,,-0.01,-0.004,,1260
45,2,pLink2_2146;pLink2_2773;pLink2_3047;pLink2_3056,P69908;P69910,;,;,false,P69908;P69910,;,;,false,459;459,459;459,,1.973,false,true,false,false,4,1,Self,0,0,0,0.999,,0,0,0,,0,0,,1310
1278,1779;1342,pLink2_2732;pLink2_2860;pLink2_2135;pLink2_2954,P0A7Z4,,,false,P0AFF6,,,false,298,39,,1.971,false,true,false,false,4,2,Between,-0.01,-0.01,-0.006,0.999,,0.215,0.215,-0.019,,-0.01,-0.004,,1260
1269,917;752,pLink2_2660;pLink2_2445;pLink2_3117;pLink2_1982,P0A7R1,,,false,P0AG30,,,false,94,188,,1.953,false,true,false,false,4,2,Between,-0.01,-0.01,-0.006,1,,0.215,0.111,-0.019,,-0.01,-0.004,,1105
1254,2006;718,pLink2_2454;pLink2_2844;pLink2_1930;pLink2_2296,P0A7R1,,,false,P60422,,,false,94,106,,1.936,false,true,false,false,4,2,Between,-0.01,-0.01,-0.006,0.997,,0.215,0.169,-0.019,,-0.01,-0.004,,945
1185,1104;1258,pLink2_3057;pLink2_2354;pLink2_852;pLink2_1704,P0A7R1,,,false,P60422;P60422,,;,false,94,182;183,,1.791,false,true,false,false,4,2,Between,-0.01,-0.01,-0.006,0.999,,0.215,0.169,-0.019,,-0.01,-0.004,,945
1153,1459;501,pLink2_2450;pLink2_3184;pLink2_794;pLink2_1242,P0A705,,,false,P0A7V3,,,false,194,80,,1.74,false,true,false,false,4,2,Between,-0.01,-0.01,-0.006,1,,0.215,0.215,-0.019,,-0.01,-0.004,,280
