ProteinGroupID,ProteinGroup,Names,Descriptions,Sequence,Crosslinker,Score,isDecoy,isTT,isTD,isDD,PSM IDs,fdrGroup,fdr,ifdr,PEP,
244,decoy:P77611,decoydecoy:null,decoy:,,,∞,true,false,true,false,ProteinProspector6355,Between only,0.1631578947368421,NaN,0.0,2.33
156,decoy:P32053,decoydecoy:null,decoy:,,,∞,true,false,true,false,ProteinProspector7470;ProteinProspector6706;ProteinProspector6210;ProteinProspector6045;ProteinProspector5635;ProteinProspector7735;ProteinProspector6000;ProteinProspector7541;ProteinProspector7016;ProteinProspector6448;ProteinProspector6450;ProteinProspector6399;ProteinProspector5676;ProteinProspector7361;ProteinProspector6864;ProteinProspector6650;ProteinProspector5675;ProteinProspector5585;ProteinProspector5495;ProteinProspector5217;ProteinProspector7834;ProteinProspector6001;ProteinProspector5317,Between only,0.16052631578947368,NaN,0.0,2.62
20,P0A6Y1,null,Integration host factor subunit beta,,,∞,false,true,false,false,ProteinProspector7721;ProteinProspector6381;ProteinProspector5866;ProteinProspector4787;ProteinProspector4405;ProteinProspector4301;ProteinProspector3306;ProteinProspector3293;ProteinProspector3188;ProteinProspector2863;ProteinProspector2878;ProteinProspector2690;ProteinProspector2398;ProteinProspector2401;ProteinProspector2283;ProteinProspector1880;ProteinProspector1865;ProteinProspector1834;ProteinProspector1803;ProteinProspector1631;ProteinProspector1582;ProteinProspector1476;ProteinProspector7741;ProteinProspector7303;ProteinProspector6296;ProteinProspector5331;ProteinProspector4246;ProteinProspector3583;ProteinProspector3615;ProteinProspector2945;ProteinProspector3526;ProteinProspector3430;ProteinProspector3402;ProteinProspector2892;ProteinProspector2498;ProteinProspector2371;ProteinProspector2096;ProteinProspector7686;ProteinProspector7725;ProteinProspector7372;ProteinProspector7009;ProteinProspector6893;ProteinProspector6788;ProteinProspector6003;ProteinProspector5650;ProteinProspector5139;ProteinProspector4720;ProteinProspector3059;ProteinProspector7619;ProteinProspector7004;ProteinProspector6230;ProteinProspector6093;ProteinProspector6011;ProteinProspector5858;ProteinProspector5752;ProteinProspector5625;ProteinProspector5536;ProteinProspector4438;ProteinProspector4174;ProteinProspector4029;ProteinProspector3900;ProteinProspector3878;ProteinProspector3178;ProteinProspector2747;ProteinProspector2632;ProteinProspector7569;ProteinProspector5431;ProteinProspector4966;ProteinProspector4408;ProteinProspector6944;ProteinProspector6364;ProteinProspector7151;ProteinProspector4873;ProteinProspector3999;ProteinProspector2978;ProteinProspector2880;ProteinProspector2671;ProteinProspector2686;ProteinProspector2436;ProteinProspector2095;ProteinProspector2023;ProteinProspector1780;ProteinProspector1720;ProteinProspector1569;ProteinProspector1505;ProteinProspector1364;ProteinProspector6611;ProteinProspector6293;ProteinProspector7674;ProteinProspector6903;ProteinProspector6462;ProteinProspector6337;ProteinProspector5793;ProteinProspector5723;ProteinProspector5322;ProteinProspector5240;ProteinProspector4534;ProteinProspector5509;ProteinProspector7056;ProteinProspector6855;ProteinProspector6597;ProteinProspector6508;ProteinProspector5418;ProteinProspector6416;ProteinProspector4571;ProteinProspector3928;ProteinProspector3392;ProteinProspector7704;ProteinProspector7483;ProteinProspector4551;ProteinProspector7260;ProteinProspector6470;ProteinProspector6323;ProteinProspector4328;ProteinProspector3845;ProteinProspector3616;ProteinProspector2814;ProteinProspector2687;ProteinProspector2084;ProteinProspector2005;ProteinProspector1321;ProteinProspector5161;ProteinProspector4921;ProteinProspector3934;ProteinProspector5347;ProteinProspector4516;ProteinProspector3887;ProteinProspector1809;ProteinProspector3758;ProteinProspector3330;ProteinProspector2562;ProteinProspector7626;ProteinProspector7580;ProteinProspector7482;ProteinProspector7461;ProteinProspector6922;ProteinProspector6906;ProteinProspector6829;ProteinProspector6851;ProteinProspector6730;ProteinProspector6677;ProteinProspector6339;ProteinProspector6348;ProteinProspector6281;ProteinProspector6175;ProteinProspector5869;ProteinProspector5269;ProteinProspector5247;ProteinProspector5239;ProteinProspector5114;ProteinProspector4986;ProteinProspector4753;ProteinProspector4268;ProteinProspector4189;ProteinProspector3768;ProteinProspector6115;ProteinProspector5218;ProteinProspector4673;ProteinProspector7763;ProteinProspector7770;ProteinProspector7783;ProteinProspector7789;ProteinProspector7634;ProteinProspector7554;ProteinProspector7492;ProteinProspector7525;ProteinProspector7433;ProteinProspector7449;ProteinProspector7388;ProteinProspector7329;ProteinProspector7350;ProteinProspector7268;ProteinProspector7196;ProteinProspector7198;ProteinProspector7224;ProteinProspector7160;ProteinProspector7164;ProteinProspector7082;ProteinProspector7102;ProteinProspector7111;ProteinProspector7062;ProteinProspector7064;ProteinProspector6981;ProteinProspector6923;ProteinProspector6881;ProteinProspector6887;ProteinProspector6822;ProteinProspector6759;ProteinProspector6713;ProteinProspector6654;ProteinProspector6635;ProteinProspector6566;ProteinProspector6505;ProteinProspector6516;ProteinProspector6542;ProteinProspector6454;ProteinProspector6469;ProteinProspector6435;ProteinProspector6436;ProteinProspector6380;ProteinProspector6389;ProteinProspector6314;ProteinProspector6350;ProteinProspector6276;ProteinProspector6299;ProteinProspector6236;ProteinProspector6243;ProteinProspector6193;ProteinProspector6036;ProteinProspector6025;ProteinProspector5993;ProteinProspector5973;ProteinProspector5950;ProteinProspector5928;ProteinProspector5927;ProteinProspector5847;ProteinProspector5823;ProteinProspector5807;ProteinProspector5805;ProteinProspector5774;ProteinProspector5769;ProteinProspector5727;ProteinProspector5722;ProteinProspector5703;ProteinProspector5666;ProteinProspector5659;ProteinProspector5653;ProteinProspector5564;ProteinProspector5557;ProteinProspector5551;ProteinProspector5484;ProteinProspector5483;ProteinProspector5467;ProteinProspector5394;ProteinProspector5385;ProteinProspector5311;ProteinProspector5296;ProteinProspector5282;ProteinProspector5195;ProteinProspector5148;ProteinProspector5113;ProteinProspector5065;ProteinProspector5046;ProteinProspector5010;ProteinProspector4985;ProteinProspector4866;ProteinProspector4830;ProteinProspector5857;ProteinProspector5667;ProteinProspector7154;ProteinProspector6921;ProteinProspector6506;ProteinProspector6438;ProteinProspector6077;ProteinProspector5089;ProteinProspector4961;ProteinProspector3807;ProteinProspector3803;ProteinProspector3604;ProteinProspector3491;ProteinProspector3490;ProteinProspector3217;ProteinProspector2964;ProteinProspector2304;ProteinProspector2129;ProteinProspector6961;ProteinProspector6443;ProteinProspector5354;ProteinProspector3766;ProteinProspector3532;ProteinProspector2767;ProteinProspector7161;ProteinProspector5066;ProteinProspector6226;ProteinProspector7367;ProteinProspector5524;ProteinProspector4464;ProteinProspector4321;ProteinProspector3422;ProteinProspector3310;ProteinProspector3197;ProteinProspector3057;ProteinProspector4031;ProteinProspector3780;ProteinProspector2685;ProteinProspector2345;ProteinProspector7620;ProteinProspector5759;ProteinProspector5730;ProteinProspector4511;ProteinProspector4071;ProteinProspector2403;ProteinProspector2156;ProteinProspector7053;ProteinProspector5814;ProteinProspector4591;ProteinProspector3744;ProteinProspector3063;ProteinProspector7511;ProteinProspector6683;ProteinProspector6619;ProteinProspector6472;ProteinProspector6319;ProteinProspector6177;ProteinProspector5747;ProteinProspector5577;ProteinProspector5503;ProteinProspector4973;ProteinProspector4848;ProteinProspector5186;ProteinProspector5128;ProteinProspector7039;ProteinProspector5694;ProteinProspector7269;ProteinProspector6328;ProteinProspector4428;ProteinProspector4177;ProteinProspector3929;ProteinProspector3425;ProteinProspector3029;ProteinProspector2140;ProteinProspector2002;ProteinProspector1947;ProteinProspector1875;ProteinProspector1848;ProteinProspector1841;ProteinProspector1367;ProteinProspector6986;ProteinProspector4928;ProteinProspector4279;ProteinProspector4219;ProteinProspector3641;ProteinProspector7262;ProteinProspector6722;ProteinProspector6477;ProteinProspector6053;ProteinProspector5368;ProteinProspector5312;ProteinProspector5039;ProteinProspector4924;ProteinProspector4731;ProteinProspector4690;ProteinProspector4526;ProteinProspector4427;ProteinProspector4267;ProteinProspector4234;ProteinProspector4155;ProteinProspector3959;ProteinProspector3852;ProteinProspector3808;ProteinProspector3795;ProteinProspector3652;ProteinProspector3555;ProteinProspector3483;ProteinProspector3405;ProteinProspector6949;ProteinProspector7695;ProteinProspector7617;ProteinProspector7495;ProteinProspector7189;ProteinProspector7234;ProteinProspector6502;ProteinProspector6265;ProteinProspector6064;ProteinProspector5991;ProteinProspector5811;ProteinProspector5701;ProteinProspector5511;ProteinProspector5454;ProteinProspector5375;ProteinProspector5285;ProteinProspector5130;ProteinProspector5027;ProteinProspector4991;ProteinProspector4935;ProteinProspector4915;ProteinProspector4789;ProteinProspector4778;ProteinProspector4762;ProteinProspector4663;ProteinProspector4606;ProteinProspector4434;ProteinProspector4314;ProteinProspector3923;ProteinProspector3893;ProteinProspector3873;ProteinProspector3715;ProteinProspector3566;ProteinProspector3531;ProteinProspector3512;ProteinProspector3477;ProteinProspector3387;ProteinProspector3316;ProteinProspector3261;ProteinProspector3248;ProteinProspector3190;ProteinProspector3108;ProteinProspector3067;ProteinProspector2947;ProteinProspector2789;ProteinProspector2779;ProteinProspector2681;ProteinProspector2658;ProteinProspector2665;ProteinProspector2643;ProteinProspector2601;ProteinProspector2566;ProteinProspector2550;ProteinProspector2467;ProteinProspector2476;ProteinProspector2301;ProteinProspector2272;ProteinProspector2211;ProteinProspector2207;ProteinProspector2179;ProteinProspector2121;ProteinProspector2075;ProteinProspector2034;ProteinProspector1999;ProteinProspector1965;ProteinProspector1877;ProteinProspector6049;ProteinProspector3927;ProteinProspector3498;ProteinProspector3167;ProteinProspector2565;ProteinProspector2526;ProteinProspector6290;ProteinProspector4437;ProteinProspector4218;ProteinProspector3968;ProteinProspector3864;ProteinProspector3184;ProteinProspector2782;ProteinProspector2678;ProteinProspector2600;ProteinProspector6831;ProteinProspector6215;ProteinProspector6205;ProteinProspector7810;ProteinProspector7650;ProteinProspector7507;ProteinProspector7336;ProteinProspector7190;ProteinProspector7200;ProteinProspector7000;ProteinProspector6924;ProteinProspector6951;ProteinProspector6888;ProteinProspector6761;ProteinProspector6785;ProteinProspector6485;ProteinProspector6283;ProteinProspector6147;ProteinProspector6056;ProteinProspector5946;ProteinProspector5487;ProteinProspector5278;ProteinProspector4858;ProteinProspector4738;ProteinProspector4728;ProteinProspector4500;ProteinProspector4404;ProteinProspector4369;ProteinProspector4312;ProteinProspector4194;ProteinProspector4060;ProteinProspector4046;ProteinProspector3769;ProteinProspector3078;ProteinProspector2660;ProteinProspector2577;ProteinProspector2540;ProteinProspector2494;ProteinProspector2481;ProteinProspector2461;ProteinProspector7764;ProteinProspector7524;ProteinProspector7281;ProteinProspector6781;ProteinProspector6161;ProteinProspector4702;ProteinProspector2480;ProteinProspector6901;ProteinProspector6066;ProteinProspector5457;ProteinProspector3094;ProteinProspector7677;ProteinProspector6586;ProteinProspector6420;ProteinProspector5961;ProteinProspector6537;ProteinProspector5008;ProteinProspector4288;ProteinProspector4105;ProteinProspector2889;ProteinProspector1740;ProteinProspector3815;ProteinProspector3040,Between only,0.15789473684210525,NaN,0.0,5.2
53,P0A7J7,null,50S ribosomal protein L11,,,∞,false,true,false,false,ProteinProspector7289;ProteinProspector6226;ProteinProspector5883;ProteinProspector3660;ProteinProspector7760;ProteinProspector7098;ProteinProspector7038;ProteinProspector6302;ProteinProspector6095;ProteinProspector5726;ProteinProspector5233;ProteinProspector4800;ProteinProspector4452;ProteinProspector4320;ProteinProspector3533;ProteinProspector2704;ProteinProspector2547;ProteinProspector2434;ProteinProspector2132;ProteinProspector7581;ProteinProspector6279;ProteinProspector6371;ProteinProspector7031;ProteinProspector5340;ProteinProspector7548;ProteinProspector7214;ProteinProspector5894;ProteinProspector6106;ProteinProspector3366;ProteinProspector6101;ProteinProspector5852;ProteinProspector5611;ProteinProspector3527;ProteinProspector7195;ProteinProspector5872;ProteinProspector5838;ProteinProspector6837;ProteinProspector5690;ProteinProspector4316;ProteinProspector4255;ProteinProspector6588;ProteinProspector5631;ProteinProspector3636;ProteinProspector6347;ProteinProspector6674;ProteinProspector5882;ProteinProspector7813;ProteinProspector5796;ProteinProspector5442;ProteinProspector6267;ProteinProspector5988;ProteinProspector5854;ProteinProspector7820;ProteinProspector7308;ProteinProspector5529;ProteinProspector5343;ProteinProspector4707;ProteinProspector4651;ProteinProspector4262;ProteinProspector4245;ProteinProspector7811;ProteinProspector7121;ProteinProspector6943;ProteinProspector6665;ProteinProspector4840,Between only,0.15789473684210525,NaN,0.0,4.05
212,Q99963,null,Endophilin-A3,,,∞,false,true,false,false,ProteinProspector7535;ProteinProspector6601;ProteinProspector6082;ProteinProspector7602,Between only,0.15789473684210525,NaN,0.0,2.39
106,P0ACD4,null,Iron-sulfur cluster assembly scaffold protein IscU,,,∞,false,true,false,false,ProteinProspector6392;ProteinProspector4588;ProteinProspector7558;ProteinProspector6333;ProteinProspector6051;ProteinProspector5460;ProteinProspector4970;ProteinProspector3991,Between only,0.15789473684210525,NaN,0.0,3.03
251,P0AGB3,null,RNA polymerase sigma factor RpoH,,,∞,false,true,false,false,ProteinProspector6440,Between only,0.15789473684210525,NaN,0.0,2.31
153,P0ADP7,null,Ubiquinone biosynthesis protein UbiJ,,,∞,false,true,false,false,ProteinProspector5127;ProteinProspector7821;ProteinProspector5972;ProteinProspector5890,Between only,0.15789473684210525,NaN,0.0,2.65
209,P0AG48,null,50S ribosomal protein L21,,,∞,false,true,false,false,ProteinProspector6049,Between only,0.15789473684210525,NaN,0.0,2.39
73,P0A9M0,null,Lon protease,,,∞,false,true,false,false,ProteinProspector6581;ProteinProspector6266;ProteinProspector6225;ProteinProspector4027;ProteinProspector4019;ProteinProspector3033;ProteinProspector2896;ProteinProspector2781;ProteinProspector3723,Between only,0.15789473684210525,NaN,0.0,3.61
