LinkID,PeptidePairIDs,PSMIDs,Protein1,Name1,Description1,Decoy1,Protein2,Name2,Description2,Decoy2,fromSite,ToSite,Croslinkers,Score,isDecoy,isTT,isTD,isDD,count PSMs,count peptide pairs,fdrGroup,fdr,ifdr,PEP,,,Protein1FDR,Protein2FDR,PPIFDR,,top pep fdr,top psm fdr,,PPI id
2010,6953;7051,ProteinProspector467;ProteinProspector181;ProteinProspector324;ProteinProspector86;ProteinProspector786,P0A8V2,null,DNA-directed RNA polymerase subunit beta,false,P0A8T7,null,DNA-directed RNA polymerase subunit beta',false,496,321,,20.967,false,true,false,false,5,2,Between,0,0,0.001,10.3,,0.158,0.158,0,,0,0,,1809
2071,7326,ProteinProspector433;ProteinProspector14;ProteinProspector34;ProteinProspector109,P0A8T7,null,DNA-directed RNA polymerase subunit beta',false,P0A8V2,null,DNA-directed RNA polymerase subunit beta,false,1072,169,,20.627,false,true,false,false,4,1,Between,0,0,0.001,11.14,,0.158,0.158,0,,0,0,,1809
2037,6996;7157,ProteinProspector82;ProteinProspector150;ProteinProspector164;ProteinProspector90,P0A8V2,null,DNA-directed RNA polymerase subunit beta,false,P0A8T7,null,DNA-directed RNA polymerase subunit beta',false,914,50,,20.282,false,true,false,false,4,2,Between,0,0,0.001,10.3,,0.158,0.158,0,,0,0,,1809
2020,6995;7223,ProteinProspector422;ProteinProspector77;ProteinProspector527;ProteinProspector138,P0A8V2,null,DNA-directed RNA polymerase subunit beta,false,P0A8T7,null,DNA-directed RNA polymerase subunit beta',false,890,50,,19.301,false,true,false,false,4,2,Between,0,0,0.001,10.34,,0.158,0.158,0,,0,0,,1809
2070,7137,ProteinProspector60;ProteinProspector21;ProteinProspector5,P0A8V2,null,DNA-directed RNA polymerase subunit beta,false,P0A8T7,null,DNA-directed RNA polymerase subunit beta',false,265,1072,,18.842,false,true,false,false,3,1,Between,0,0,0.001,11.27,,0.158,0.158,0,,0,0,,1809
2069,6940,ProteinProspector315;ProteinProspector223;ProteinProspector388;ProteinProspector822,P0A9P0,null,Dihydrolipoyl dehydrogenase,false,P0AFG6,null,Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex,false,338,152,,18.214,false,true,false,false,4,1,Between,0,0,0.001,9.71,,0.121,0.059,0,,0,0,,1716
2068,7522,ProteinProspector30;ProteinProspector42;ProteinProspector124,P0A8V2,null,DNA-directed RNA polymerase subunit beta,false,P0A8T7,null,DNA-directed RNA polymerase subunit beta',false,163,789,,18.163,false,true,false,false,3,1,Between,0,0,0.001,10.77,,0.158,0.158,0,,0,0,,1809
1998,7076;7039,ProteinProspector419;ProteinProspector470;ProteinProspector466;ProteinProspector547,P0A8V2,null,DNA-directed RNA polymerase subunit beta,false,P0A8T7,null,DNA-directed RNA polymerase subunit beta',false,844,50,,18.121,false,true,false,false,4,2,Between,0,0,0.001,9.19,,0.158,0.158,0,,0,0,,1809
2067,7356,ProteinProspector37;ProteinProspector63;ProteinProspector243,P0A8T7,null,DNA-directed RNA polymerase subunit beta',false,P0A8V2,null,DNA-directed RNA polymerase subunit beta,false,1132,163,,17.757,false,true,false,false,3,1,Between,0,0,0.001,10.64,,0.158,0.158,0,,0,0,,1809
2066,6834,ProteinProspector829;ProteinProspector383;ProteinProspector408;ProteinProspector552,P0AFG6,null,Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex,false,P0A9P0,null,Dihydrolipoyl dehydrogenase,false,94,338,,17.642,false,true,false,false,4,1,Between,0,0,0.001,9.28,,0.059,0.121,0,,0,0,,1716
