LinkID,PeptidePairIDs,PSMIDs,Protein1,Name1,Description1,Decoy1,Protein2,Name2,Description2,Decoy2,fromSite,ToSite,Croslinkers,Score,isDecoy,isTT,isTD,isDD,count PSMs,count peptide pairs,fdrGroup,fdr,ifdr,PEP,,,Protein1FDR,Protein2FDR,PPIFDR,,top pep fdr,top psm fdr,,PPI id
383,270;259;231;257,Kojak_3599;Kojak_2478;Kojak_3684;Kojak_809;Kojak_2495;Kojak_486;Kojak_485;Kojak_3717;Kojak_2527,P0AG44,,,false,P0A7N4,,,false,121,32,,1334.646,false,true,false,false,9,4,Between,0,0,0,839.9,,0.032,0.031,0,,0,0,,708
806,1318;279,Kojak_473;Kojak_3107;Kojak_1782;Kojak_2998,P0A6X7,,,false,P0ADZ4,,,false,66,71,,1197.765,false,true,false,false,4,2,Between,0,0,0,897.2,,0.031,0.031,0,,0,0,,141
28,4,Kojak_1185;Kojak_3967,P0AC33,,,false,P0AC33;P14407,;,;,false,215,207;207,,987.813,false,true,false,false,2,1,Self,0,0,0,897.7,,0,0,0,,0,0,,714
820,833,Kojak_1499;Kojak_668,P0A8F0,,,false,P0A853,,,false,26,20,,964.373,false,true,false,false,2,1,Between,0,0,0,964.3,,0.031,0.018,0,,0,0,,706
563,3509;241;222,Kojak_3449;Kojak_3513;Kojak_3538;Kojak_3481;Kojak_1685;Kojak_2401,P0A836,,,false,P0AGE9,,,false,146,256,,952.302,false,true,false,false,6,3,Between,0,0,0,920.9,,0.032,0.018,0,,0,0,,49
819,230,Kojak_10;Kojak_560,P0A6Y8,,,false,P09372,,,false,106,194,,947.233,false,true,false,false,2,1,Between,0,0,0,947.2,,0.031,0.023,0,,0,0,,129
766,604;2018,Kojak_695;Kojak_365;Kojak_3102,P02359,,,false,P68679,,,false,171,25,,941.755,false,true,false,false,3,2,Between,0,0,0,867.3,,0.018,0.018,0,,0,0,,417
818,3884,Kojak_2897,P0A705,,,false,P0A7V3,,,false,214,49,,928,false,true,false,false,1,1,Between,0,0,0,928,,0.018,0.031,0,,0,0,,173
817,837,Kojak_4015;Kojak_3975,P02359,,,false,P0A7S9,,,false,171,117,,926.823,false,true,false,false,2,1,Between,0,0,0,926.8,,0.018,0.018,0,,0,0,,5
816,791,Kojak_406;Kojak_405,P0ACD4,,,false,P0A6Z1,,,false,80,609,,921.514,false,true,false,false,2,1,Between,0,0,0,921.5,,0.032,0.018,0,,0,0,,10
813,1982,Kojak_697,P0A7R1,,,false,P0AG59,,,false,42,97,,887.5,false,true,false,false,1,1,Between,0,0,0,887.5,,0.018,0.031,0,,0,0,,699
812,411,Kojak_1069,P0A8T7,,,false,P0A7Z4,,,false,371,1,,876.4,false,true,false,false,1,1,Between,0,0,0,876.4,,0.031,0.018,0,,0,0,,23
470,983;2354,Kojak_1949;Kojak_1996;Kojak_1946;Kojak_1992,P62399,,,false,P0A6X7,,,false,78,97,,869.993,false,true,false,false,4,2,Between,0,0,0,869.9,,0.018,0.031,0,,0,0,,233
224,2172;1841,Kojak_2733;Kojak_267,P0A7J3,,,false,P0A7K2,,,false,105,108,,865.9,false,true,false,false,2,2,Between,0,0,0,865.9,,0.032,0.018,0,,0,0,,52
808,1016,Kojak_162;Kojak_103,P09832,,,false,P09831,,,false,2,693,,853.8,false,true,false,false,2,1,Between,0,0,0,853.8,,0.018,0.018,0,,0,0,,7
807,4046,Kojak_1191,P0A7S9,,,false,P0A7K2,,,false,78,71,,833.8,false,true,false,false,1,1,Between,0,0,0,833.8,,0.018,0.018,0,,0,0,,694
805,278,Kojak_1734;Kojak_2472,ENTRAP_sp|Q68D42|TM215_HUMAN,,,false,P0A858,,,false,113,103,,780.4,false,true,false,false,2,1,Between,0,0,0,780.4,,0.018,0,0,,0,0,,693
804,2237,Kojak_1416,P63020,,,false,P36683,,,false,14,759,,748.2,false,true,false,false,1,1,Between,0,0,0,748.2,,0.018,0.018,0,,0,0,,692
803,1828,Kojak_2464,P09373,,,false,P68066,,,false,541,62,,738,false,true,false,false,1,1,Between,0,0,0,738,,0.018,0.023,0,,0,0,,8
661,2436;3404,Kojak_1329;Kojak_1377;Kojak_2098;Kojak_3727,P0AG67,,,false,P0A7V0,,,false,2,11,,733.815,false,true,false,false,4,2,Between,0,0,0,549.4,,0,0.031,0,,0,0,,4
777,996;1660,Kojak_386;Kojak_1982;Kojak_857;Kojak_1383,P0A7T7,,,false,P68679,,,false,30,25,,727.139,false,true,false,false,4,2,Between,0,0,0,532.2,,0,0.018,0,,0,0,,549
801,384,Kojak_1028;Kojak_1027,P02359,,,false,P0A707,,,false,171,77,,711.8,false,true,false,false,2,1,Between,0,0,0,711.8,,0.018,0.031,0,,0,0,,104
221,458;582,Kojak_3038;Kojak_2986;Kojak_3039;Kojak_2985;Kojak_3036,P0ACF4,,,false,P0A7V3,,,false,67,86,,696.8,false,true,false,false,5,2,Between,0,0,0,696.8,,0.031,0.031,0,,0,0,,192
798,1384,Kojak_2241;Kojak_2240,P60422,,,false,P0A6X7,,,false,242,66,,680.4,false,true,false,false,2,1,Between,0,0,0,680.4,,0.018,0.031,0,,0,0,,61
797,377,Kojak_397;Kojak_1652,P0AGE9,,,false,P0A836,,,false,43,172,,669.984,false,true,false,false,2,1,Between,0,0,0,668.5,,0.018,0.032,0,,0,0,,49
796,1004,Kojak_1023,P0A6X7,,,false,P62399,,,false,66,120,,664.5,false,true,false,false,1,1,Between,0,0,0,664.5,,0.031,0.018,0,,0,0,,233
725,1673;350,Kojak_3355;Kojak_1833;Kojak_1822,P0A7J7,,,false,P0A7K2,,,false,87,71,,648.294,false,true,false,false,3,2,Between,0,0,0,624.7,,0.032,0.018,0,,0,0,,64
795,4030,Kojak_2277,P02359,,,false,P0A9F3,,,false,171,54,,632.1,false,true,false,false,1,1,Between,0,0,0,632.1,,0.018,0.018,0,,0,0,,682
793,686,Kojak_2063;Kojak_2100,P09373,,,false,P0A858,,,false,92,247,,620.801,false,true,false,false,2,1,Between,0,0,0,620.8,,0.018,0,0,,0,0,,681
509,977;1945,Kojak_3332;Kojak_3331;Kojak_3213;Kojak_4000,P0A8V2,,,false,P0A8T7,,,false,163,789,,614.535,false,true,false,false,4,2,Between,0,0,0,607.4,,0.031,0.031,0,,0,0,,27
791,1834,Kojak_3378;Kojak_3343,P0A7Z4,,,false,P0A8T7,,,false,1,370,,610.789,false,true,false,false,2,1,Between,0,0,0,610,,0.018,0.031,0,,0,0,,23
790,3358,Kojak_1780,P62399,,,false,P0A7M9,,,false,2,47,,607.8,false,true,false,false,1,1,Between,0,0,0,607.8,,0.018,0.018,0,,0,0,,170
789,435,Kojak_3849;Kojak_3807,P06959,,,false,P0A9P0,,,false,313,339,,595.835,false,true,false,false,2,1,Between,0,0,0,595.8,,0,0.032,0,,0,0,,168
788,953,Kojak_3948;Kojak_3947;Kojak_3271,P0AFG6,,,false,P0A9P0,,,false,156,338,,592.101,false,true,false,false,3,1,Between,0,0,0,592.1,,0.018,0.032,0,,0,0,,56
787,3965,Kojak_3842;Kojak_3800,P0ACF0,,,false,P0A7V3,,,false,67,80,,589.07,false,true,false,false,2,1,Between,0,0,0,526.8,,0.018,0.031,0,,0,0,,6
786,418,Kojak_2602;Kojak_1706,P0A9P0,,,false,P0AFG6,,,false,338,94,,586.5,false,true,false,false,2,1,Between,0,0,0,586.5,,0.032,0.018,0,,0,0,,56
785,2067,Kojak_1797;Kojak_1704,ENTRAP_sp|Q01094|E2F1_HUMAN,,,false,P37177,,,false,137,228,,554.308,false,true,false,false,2,1,Between,0,0,0,511.5,,0.018,0,0,,0,0,,673
783,247,Kojak_239;Kojak_212,P0A7R1,,,false,P0AG30,,,false,83,181,,522.507,false,true,false,false,2,1,Between,0,0,0,522.5,,0.018,0.018,0,,0,0,,77
782,1985,Kojak_3197;Kojak_2337,P0ACF4,,,false,P0A7U3,,,false,18,29,,517.4,false,true,false,false,2,1,Between,0,0,0,517.4,,0.031,0.018,0,,0,0,,347
781,2218,Kojak_344,P0ACF4,,,false,P0A6Y1,,,false,67,69,,510.5,false,true,false,false,1,1,Between,0,0,0,510.5,,0.031,0.032,0,,0,0,,97
780,3312,Kojak_2979,P0A6Y1,,,false,P0A7V3,,,false,65,49,,507,false,true,false,false,1,1,Between,0,0,0,507,,0.032,0.031,0,,0,0,,171
779,2471,Kojak_3922;Kojak_2652;Kojak_3921,P02359,,,false,P0A7U3,,,false,171,87,,499.965,false,true,false,false,3,1,Between,0,0,0,499.9,,0.018,0.018,0,,0,0,,179
599,228;814,Kojak_3294;Kojak_1862;Kojak_3909;Kojak_2714;Kojak_2663;Kojak_1898,P0A786,,,false,P0A7F3,,,false,179,137,,495.405,false,true,false,false,6,2,Between,0,0,0,479,,0.031,0.018,0,,0,0,,439
776,4006,Kojak_245,P0A6Y1,,,false,P0AG48,,,false,20,1,,487.7,false,true,false,false,1,1,Between,0,0,0,487.7,,0.032,0.032,0,,0,0,,666
775,2542,Kojak_3353,P0A7U3,,,false,P0ACF0,,,false,29,18,,487,false,true,false,false,1,1,Between,0,0,0,487,,0.018,0.018,0,,0,0,,135
774,3852,Kojak_1853,P0A8V2,,,false,P0A8T7,,,false,1242,370,,469.5,false,true,false,false,1,1,Between,0,0,0,469.5,,0.031,0.031,0,,0,0,,27
773,2959,Kojak_1658,P0AG67,,,false,P68679,,,false,247,5,,448.8,false,true,false,false,1,1,Between,0,0,0,448.8,,0,0.018,0,,0,0,,231
