LinkID,PeptidePairIDs,PSMIDs,Protein1,Name1,Description1,Decoy1,Protein2,Name2,Description2,Decoy2,fromSite,ToSite,Croslinkers,Score,isDecoy,isTT,isTD,isDD,count PSMs,count peptide pairs,fdrGroup,fdr,ifdr,PEP,,,Protein1FDR,Protein2FDR,PPIFDR,,top pep fdr,top psm fdr,,PPI id
1694,2836;1361,pLink2_3038;pLink2_3492;pLink2_3191;pLink2_797;pLink2_2141;pLink2_2428,P0A7Z4,,,false,P0AFF6,,,false,298,39,,2.316,false,true,false,false,6,2,Between,0,0,0.001,1,,0.126,0.126,0,,0,0,,1534
1701,1867,pLink2_2331;pLink2_3554;pLink2_3594;pLink2_3696,P0A8V2;P0A8V2,,;,false,P0A8T7,,,false,172;174,1140,,1.986,false,true,false,false,4,1,Between,0,0,0.001,1,,0.126,0.126,0,,0,0,,131
84,10,pLink2_1893;pLink2_2839;pLink2_3882;pLink2_3627,P69908;P69908;P69910;P69910,;,;;;,false,P69908;P69908;P69910;P69910,;,;;;,false,459;452;459;452,459;452;459;452,,1.961,false,true,false,false,4,1,Self,0,0,0,1,,0,0,0,,0,0,,1657
1564,1421;2323,pLink2_2024;pLink2_2870;pLink2_3070;pLink2_1973,P0A7S3,,,false,P0A6Y1;P0A6Y1,,;,false,116,68;72,,1.937,false,true,false,false,4,2,Between,0,0,0.001,0.998,,0.129,0.134,0,,0,0,,332
1113,1212;3012,pLink2_617;pLink2_3376;pLink2_3152;pLink2_2793,P0A7G2,,,false,P02359;P02359,,;,false,127,154;148,,1.854,false,true,false,false,4,2,Between,0,0,0.001,1,,0.126,0.117,0,,0,0,,295
1410,942;3939,pLink2_329;pLink2_3071;pLink2_2517;pLink2_3847,P0ACF4;P0ACF4,,;,false,P0A7S3,,,false,66;72,116,,1.815,false,true,false,false,4,2,Between,0,0,0.001,1,,0,0.129,0,,0,0,,133
1497,657;1122,pLink2_2063;pLink2_3272;pLink2_1840;pLink2_826,P68066,,,false,P09373,,,false,95,68,,1.804,false,true,false,false,4,2,Between,0,0,0.001,0.999,,0.126,0.124,0,,0,0,,173
1151,1646;1990,pLink2_1952;pLink2_1204;pLink2_1156;pLink2_2965,P0A6Y1,,,false,P0A7S3,,,false,67,116,,1.773,false,true,false,false,4,2,Between,0,0,0.001,0.997,,0.134,0.129,0,,0,0,,332
1474,2537;1154,pLink2_3976;pLink2_4056;pLink2_550;pLink2_1152,P0A705,,,false,P0A7V3,,,false,194,80,,1.749,false,true,false,false,4,2,Between,0,0,0.001,1,,0,0.117,0,,0,0,,317
1308,2545;3599,pLink2_2892;pLink2_3782;pLink2_3531,P0A7Z4,,,false,P24255,,,false,298,243,,1.729,false,true,false,false,3,2,Between,0,0,0.001,1,,0.126,0.117,0,,0,0,,1566
